第一申请人,主体类型,省级地区,第一申请人城市标准化,year,biomanufacturing_patent_count,biomanufacturing_score_sum,biomanufacturing_score_mean,main_categories,main_sub_categories,report_tech_routes,firm_main_category,firm_main_sub_category,firm_main_report_tech_route,type_review_count
三生国健药业(上海)股份有限公司,企业,上海,上海,2023,1,4,4.0,代谢工程与细胞工厂,表达系统,细胞工厂与菌株工程,代谢工程与细胞工厂,表达系统,细胞工厂与菌株工程,0
上海一恒科学仪器有限公司,企业,上海,上海,2024,1,3,3.0,生物过程与规模化,生物反应器,生物过程与规模化,生物过程与规模化,生物反应器,生物过程与规模化,0
上海三维生物技术有限公司,企业,上海,上海,2024,1,3,3.0,生物过程与规模化,生物反应器,生物过程与规模化,生物过程与规模化,生物反应器,生物过程与规模化,0
上海东庚化工技术有限公司,企业,上海,上海,2023,1,1,1.0,产品与应用,氨基酸与有机酸发酵产品,生物制造产品与应用,产品与应用,氨基酸与有机酸发酵产品,生物制造产品与应用,0
上海东振环保工程技术有限公司,企业,上海,上海,2024,1,3,3.0,生物过程与规模化,生物反应器,生物过程与规模化,生物过程与规模化,生物反应器,生物过程与规模化,0
上海东方星际干细胞科技有限公司,企业,上海,上海,2023,1,3,3.0,生物过程与规模化,生物反应器,生物过程与规模化,生物过程与规模化,生物反应器,生物过程与规模化,0
上海东晟源日化有限公司,企业,上海,上海,2023,1,3,3.0,生物过程与规模化,生物反应器,生物过程与规模化,生物过程与规模化,生物反应器,生物过程与规模化,0
上海中医药大学,高校,上海,上海,2021,2,6,3.0,生物过程与规模化,下游分离纯化；生物反应器,生物过程与规模化,生物过程与规模化,下游分离纯化,生物过程与规模化,0
上海中医药大学,高校,上海,上海,2022,4,16,4.0,代谢工程与细胞工厂；DNA/RNA读写编辑,代谢工程；基因与基因组编辑,细胞工厂与菌株工程；生物设计、读写与自动化工具,DNA/RNA读写编辑,基因与基因组编辑,生物设计、读写与自动化工具,0
上海中医药大学,高校,上海,上海,2023,2,8,4.0,DNA/RNA读写编辑；酶与蛋白质工程,基因与基因组编辑；生物催化,生物设计、读写与自动化工具；酶与蛋白质工程,DNA/RNA读写编辑,基因与基因组编辑,生物设计、读写与自动化工具,0
上海中医药大学,高校,上海,上海,2024,2,6,3.0,酶与蛋白质工程；产品与应用,生物催化；平台化合物,酶与蛋白质工程；生物制造产品与应用,酶与蛋白质工程,生物催化,酶与蛋白质工程,0
上海中医药大学,高校,上海,上海,2025,1,4,4.0,生物过程与规模化,发酵工程,生物过程与规模化,生物过程与规模化,发酵工程,生物过程与规模化,0
上海中华药业有限公司,企业,上海,上海,2021,1,1,1.0,产品与应用,氨基酸与有机酸发酵产品,生物制造产品与应用,产品与应用,氨基酸与有机酸发酵产品,生物制造产品与应用,0
上海中器环保科技有限公司,企业,上海,上海,2024,1,2,2.0,产品与应用,生物能源与燃料,生物制造产品与应用,产品与应用,生物能源与燃料,生物制造产品与应用,0
上海中器环保科技有限公司,企业,上海,上海,2025,2,4,2.0,产品与应用,生物能源与燃料,生物制造产品与应用,产品与应用,生物能源与燃料,生物制造产品与应用,0
上海中翊日化有限公司,企业,上海,上海,2025,1,1,1.0,产品与应用,重组药物与生物活性原料,生物制造产品与应用,产品与应用,重组药物与生物活性原料,生物制造产品与应用,0
上海丽舒丹医药科技有限公司,企业,上海,上海,2024,1,2,2.0,产品与应用,高值活性分子,生物制造产品与应用,产品与应用,高值活性分子,生物制造产品与应用,0
上海久博生物工程有限公司,企业,上海,上海,2024,1,3,3.0,生物过程与规模化,生物反应器,生物过程与规模化,生物过程与规模化,生物反应器,生物过程与规模化,0
上海乐纯佰鑫生物新材料科技有限公司,企业,上海,上海,2025,1,3,3.0,产品与应用,平台化合物,生物制造产品与应用,产品与应用,平台化合物,生物制造产品与应用,0
上海乐纯生物技术有限公司,企业,上海,上海,2022,1,3,3.0,生物过程与规模化,生物反应器,生物过程与规模化,生物过程与规模化,生物反应器,生物过程与规模化,0
上海乐纯生物技术股份有限公司,企业,上海,上海,2024,1,3,3.0,生物过程与规模化,生物反应器,生物过程与规模化,生物过程与规模化,生物反应器,生物过程与规模化,0
上海乘黄纳米抗体科技有限公司,企业,上海,上海,2024,1,3,3.0,生物过程与规模化,下游分离纯化,生物过程与规模化,生物过程与规模化,下游分离纯化,生物过程与规模化,0
上海乾界生物科技有限公司,企业,上海,上海,2024,1,4,4.0,生物过程与规模化,发酵工程,生物过程与规模化,生物过程与规模化,发酵工程,生物过程与规模化,0
上海乾界生物科技有限公司,企业,上海,上海,2025,2,3,1.5,产品与应用,氨基酸与有机酸发酵产品；可降解聚合物,生物制造产品与应用,产品与应用,氨基酸与有机酸发酵产品,生物制造产品与应用,0
上海云未生物科技有限公司,企业,上海,上海,2023,2,2,1.0,产品与应用,重组药物与生物活性原料,生物制造产品与应用,产品与应用,重组药物与生物活性原料,生物制造产品与应用,0
上海交通大学,高校,上海,上海,2021,26,80,3.076923076923077,DNA/RNA读写编辑；产品与应用；生物制造基础；酶与蛋白质工程；生物过程与规模化；代谢工程与细胞工厂,基因与基因组编辑；氨基酸与有机酸发酵产品；合成生物学；生物催化；基因合成；发酵工程；高值活性分子；重组药物与生物活性原料；表达系统；下游分离纯化；代谢工程；生物能源与燃料,生物设计、读写与自动化工具；生物制造产品与应用；前沿制造与基础支撑；酶与蛋白质工程；生物过程与规模化；细胞工厂与菌株工程,产品与应用,发酵工程,生物制造产品与应用,0
