第一申请人类型,主体类型,主体类型判断依据,主体类型需复核,专利数
学校,高校,第一申请人名称规则,False,10661
企业,企业,第一申请人名称规则,False,9809
科研单位,科研院所,第一申请人名称规则,False,3727
企业,企业,第一申请人完整名称规则,False,915
"企业,学校",高校,第一申请人名称规则,False,473
机关团体,医疗机构,第一申请人名称规则,False,384
个人,个人,原字段单一类型兜底,False,301
"企业,学校",企业,第一申请人名称规则,False,268
"企业,科研单位",科研院所,第一申请人名称规则,False,242
"科研单位,学校",高校,第一申请人名称规则,False,176
"科研单位,学校",科研院所,第一申请人名称规则,False,140
"企业,企业",企业,第一申请人名称规则,False,112
"企业,科研单位",企业,第一申请人名称规则,False,103
"学校,企业",高校,第一申请人名称规则,False,84
企业,科研院所,第一申请人名称规则,False,83
科研单位,高校,第一申请人名称规则,False,76
机关团体,机关团体,原字段单一类型兜底,False,72
"学校,科研单位",高校,第一申请人名称规则,False,39
科研单位,科研院所,原字段单一类型兜底,False,36
科研单位,医疗机构,第一申请人名称规则,False,36
机关团体,科研院所,第一申请人名称规则,False,33
企业,高校,第一申请人名称规则,False,29
"机关团体,学校",高校,第一申请人名称规则,False,24
"科研单位,科研单位",科研院所,第一申请人名称规则,False,24
"企业,企业,企业",企业,第一申请人名称规则,False,23
"科研单位,企业",科研院所,第一申请人名称规则,False,23
"企业,科研单位,学校",高校,第一申请人名称规则,False,22
"个人,企业",企业,第一申请人名称规则,False,20
"学校,学校",高校,第一申请人名称规则,False,18
"企业,科研单位,学校",科研院所,第一申请人名称规则,False,16
"企业,学校",企业,第一申请人完整名称规则,False,15
"企业,个人",个人,原字段个人类型兜底,True,15
"企业,科研单位,学校",企业,第一申请人名称规则,False,14
"企业,个人",企业,第一申请人名称规则,False,13
"企业,机关团体",企业,第一申请人名称规则,False,13
机关团体,机关团体,第一申请人名称规则,False,13
"企业,机关团体",医疗机构,第一申请人名称规则,False,12
"科研单位,机关团体",医疗机构,第一申请人名称规则,False,11
"企业,企业",企业,第一申请人完整名称规则,False,10
科研单位,科研院所,第一申请人完整名称规则,False,10
