第一申请人城市_原值,第一申请人城市标准化,省级地区,城市映射状态,专利数
北京市,北京,北京,城市映射成功,1693
广州市,广州,广东,城市映射成功,1107
上海市,上海,上海,城市映射成功,1007
无锡市,无锡,江苏,城市映射成功,955
南京市,南京,江苏,城市映射成功,901
北京,北京,北京,城市映射成功,892
杭州市,杭州,浙江,城市映射成功,748
天津市,天津,天津,城市映射成功,746
广州,广州,广东,城市映射成功,737
武汉市,武汉,湖北,城市映射成功,719
南京,南京,江苏,城市映射成功,572
上海,上海,上海,城市映射成功,569
杭州,杭州,浙江,城市映射成功,548
青岛市,青岛,山东,城市映射成功,519
天津,天津,天津,城市映射成功,454
济南市,济南,山东,城市映射成功,408
武汉,武汉,湖北,城市映射成功,382
深圳市,深圳,广东,城市映射成功,358
无锡,无锡,江苏,城市映射成功,347
成都市,成都,四川,城市映射成功,342
青岛,青岛,山东,城市映射成功,303
深圳,深圳,广东,城市映射成功,289
济南,济南,山东,城市映射成功,269
昆明市,昆明,云南,城市映射成功,257
长沙市,长沙,湖南,城市映射成功,254
成都,成都,四川,城市映射成功,245
合肥市,合肥,安徽,城市映射成功,244
苏州市,苏州,江苏,城市映射成功,231
福州市,福州,福建,城市映射成功,228
重庆市,重庆,重庆,城市映射成功,226
郑州市,郑州,河南,城市映射成功,219
合肥,合肥,安徽,城市映射成功,202
南宁市,南宁,广西,城市映射成功,196
哈尔滨市,哈尔滨,黑龙江,城市映射成功,193
长春市,长春,吉林,城市映射成功,189
西安市,西安,陕西,城市映射成功,182
昆明,昆明,云南,城市映射成功,177
大连市,大连,辽宁,城市映射成功,177
,,美国,境外申请人,160
苏州,苏州,江苏,城市映射成功,159
长沙,长沙,湖南,城市映射成功,155
哈尔滨,哈尔滨,黑龙江,城市映射成功,140
潍坊,潍坊,山东,城市映射成功,130
烟台市,烟台,山东,城市映射成功,126
石家庄市,石家庄,河北,城市映射成功,124
长春,长春,吉林,城市映射成功,122
呼和浩特市,呼和浩特,内蒙古,城市映射成功,121
海口市,海口,海南,城市映射成功,116
镇江市,镇江,江苏,城市映射成功,114
郑州,郑州,河南,城市映射成功,113
重庆,重庆,重庆,城市映射成功,111
佛山市,佛山,广东,城市映射成功,111
南昌市,南昌,江西,城市映射成功,108
呼和浩特,呼和浩特,内蒙古,城市映射成功,108
泰安,泰安,山东,城市映射成功,107
宁波市,宁波,浙江,城市映射成功,107
沈阳市,沈阳,辽宁,城市映射成功,106
厦门市,厦门,福建,城市映射成功,105
烟台,烟台,山东,城市映射成功,104
西安,西安,陕西,城市映射成功,103
潍坊市,潍坊,山东,城市映射成功,101
南昌,南昌,江西,城市映射成功,99
太原市,太原,山西,城市映射成功,96
三亚,三亚,海南,城市映射成功,93
大连,大连,辽宁,城市映射成功,93
福州,福州,福建,城市映射成功,89
兰州市,兰州,甘肃,城市映射成功,89
泰安市,泰安,山东,城市映射成功,89
,,韩国,境外申请人,83
扬州市,扬州,江苏,城市映射成功,82
临沂,临沂,山东,城市映射成功,80
临沂市,临沂,山东,城市映射成功,80
贵阳市,贵阳,贵州,城市映射成功,77
南通市,南通,江苏,城市映射成功,75
佛山,佛山,广东,城市映射成功,73
珠海市,珠海,广东,城市映射成功,73
咸阳,咸阳,陕西,城市映射成功,72
沈阳,沈阳,辽宁,城市映射成功,70
南宁,南宁,广西,城市映射成功,70
镇江,镇江,江苏,城市映射成功,66
扬州,扬州,江苏,城市映射成功,65
厦门,厦门,福建,城市映射成功,65
东莞市,东莞,广东,城市映射成功,64
海口,海口,海南,城市映射成功,62
石家庄,石家庄,河北,城市映射成功,61
南通,南通,江苏,城市映射成功,60
宁波,宁波,浙江,城市映射成功,60
徐州市,徐州,江苏,城市映射成功,60
珠海,珠海,广东,城市映射成功,58
湖州市,湖州,浙江,城市映射成功,58
银川市,银川,宁夏,城市映射成功,57
咸阳市,咸阳,陕西,城市映射成功,56
宜昌市,宜昌,湖北,城市映射成功,56
乌鲁木齐市,乌鲁木齐,新疆,城市映射成功,55
泰州市,泰州,江苏,城市映射成功,55
新乡市,新乡,河南,城市映射成功,54
常州,常州,江苏,城市映射成功,53
淮安市,淮安,江苏,城市映射成功,53
保定,保定,河北,城市映射成功,52
温州市,温州,浙江,城市映射成功,50
常州市,常州,江苏,城市映射成功,50
保定市,保定,河北,城市映射成功,50
绍兴市,绍兴,浙江,城市映射成功,49
银川,银川,宁夏,城市映射成功,47
连云港市,连云港,江苏,城市映射成功,47
舟山市,舟山,浙江,城市映射成功,46
济宁市,济宁,山东,城市映射成功,45
兰州,兰州,甘肃,城市映射成功,45
淄博市,淄博,山东,城市映射成功,45
洛阳市,洛阳,河南,城市映射成功,44
台州市,台州,浙江,城市映射成功,44
贵阳,贵阳,贵州,城市映射成功,44
滨州,滨州,山东,城市映射成功,44
泰州,泰州,江苏,城市映射成功,42
德州市,德州,山东,城市映射成功,42
,,德国,境外申请人,42
江门市,江门,广东,城市映射成功,41
,,日本,境外申请人,41
威海市,威海,山东,城市映射成功,40
金华市,金华,浙江,城市映射成功,40
太原,太原,山西,城市映射成功,38
芜湖市,芜湖,安徽,城市映射成功,38
滨州市,滨州,山东,城市映射成功,37
德州,德州,山东,城市映射成功,37
蚌埠市,蚌埠,安徽,城市映射成功,36
连云港,连云港,江苏,城市映射成功,35
盐城,盐城,江苏,城市映射成功,35
湛江市,湛江,广东,城市映射成功,35
盐城市,盐城,江苏,城市映射成功,35
淄博,淄博,山东,城市映射成功,34
滁州市,滁州,安徽,城市映射成功,33
菏泽市,菏泽,山东,城市映射成功,32
赣州市,赣州,江西,城市映射成功,32
绍兴,绍兴,浙江,城市映射成功,32
泉州市,泉州,福建,城市映射成功,32
东莞,东莞,广东,城市映射成功,31
廊坊市,廊坊,河北,城市映射成功,31
湛江,湛江,广东,城市映射成功,30
眉山市,眉山,四川,城市映射成功,30
清远市,清远,广东,城市映射成功,29
桂林市,桂林,广西,城市映射成功,29
淮安,淮安,江苏,城市映射成功,29
宜昌,宜昌,湖北,城市映射成功,29
开封市,开封,河南,城市映射成功,29
中山市,中山,广东,城市映射成功,29
