原始技术方向,专利数,创新主体数,专利占比
生物制造基础,361,173,0.012981875719217491
DNA/RNA读写编辑,2475,861,0.08900316455696203
生物元件与线路,69,52,0.002481300345224396
计算设计与AI,123,100,0.004423187571921749
测试筛选与自动化,140,99,0.005034522439585731
酶与蛋白质工程,2534,858,0.09112485615650173
代谢工程与细胞工厂,1712,598,0.061565017261219795
底盘细胞与菌株工程,558,245,0.020066168009205985
生物过程与规模化,9792,4316,0.3521288837744534
原料与低碳路线,319,197,0.011471518987341773
产品与应用,9334,3471,0.33565880322209435
前沿生物制造,383,199,0.013773014959723821
安全质量与支撑,8,5,0.00028768699654775604
