省级地区,专利数,创新主体数,企业专利数,企业数,高校专利数,高校数,科研院所专利数,科研院所数,医疗机构专利数,医疗机构数,全国专利占比,专利数全国排名,企业专利占比
江苏,4185,867,1367.0,725.0,2495.0,58.0,246.0,37.0,47.0,21.0,0.1505016722408027,1,0.32664277180406215
广东,3250,1197,1758.0,988.0,864.0,57.0,533.0,87.0,65.0,37.0,0.1168770453482936,2,0.540923076923077
山东,2822,870,1419.0,697.0,862.0,49.0,474.0,73.0,32.0,17.0,0.10148523753011832,3,0.502834868887314
北京,2585,563,802.0,392.0,803.0,28.0,861.0,78.0,66.0,32.0,0.09296220376164276,4,0.31025145067698257
浙江,1954,572,782.0,459.0,978.0,37.0,150.0,39.0,11.0,9.0,0.07027007588017406,5,0.4002047082906858
上海,1576,487,709.0,398.0,591.0,21.0,185.0,25.0,66.0,23.0,0.05667637645197252,6,0.4498730964467005
湖北,1351,310,503.0,232.0,648.0,32.0,159.0,27.0,27.0,7.0,0.04858488869709066,7,0.37231680236861586
天津,1200,150,239.0,116.0,610.0,13.0,331.0,11.0,12.0,4.0,0.043154601359369944,8,0.19916666666666666
四川,814,278,345.0,201.0,310.0,28.0,85.0,30.0,60.0,8.0,0.02927320458877261,9,0.4238329238329238
安徽,775,240,340.0,183.0,347.0,29.0,77.0,18.0,5.0,4.0,0.027870680044593088,10,0.43870967741935485
河南,670,210,239.0,140.0,327.0,33.0,79.0,18.0,10.0,6.0,0.02409465242564822,11,0.3567164179104478
福建,629,198,210.0,136.0,299.0,22.0,100.0,27.0,8.0,4.0,0.022620203545869744,12,0.3338632750397456
湖南,570,221,270.0,165.0,211.0,25.0,66.0,19.0,12.0,4.0,0.020498435645700724,13,0.47368421052631576
辽宁,527,134,118.0,77.0,268.0,25.0,114.0,11.0,6.0,5.0,0.0189520624303233,14,0.2239089184060721
云南,503,134,149.0,81.0,238.0,15.0,105.0,28.0,4.0,3.0,0.018088970403135902,15,0.2962226640159046
陕西,474,127,150.0,92.0,291.0,24.0,26.0,5.0,2.0,1.0,0.017046067536951127,16,0.31645569620253167
河北,458,185,286.0,135.0,103.0,16.0,55.0,22.0,0.0,0.0,0.01647067285215953,17,0.6244541484716157
黑龙江,441,118,133.0,69.0,223.0,17.0,72.0,22.0,1.0,1.0,0.015859315999568455,18,0.30158730158730157
吉林,400,94,131.0,58.0,188.0,19.0,73.0,9.0,1.0,1.0,0.01438486711978998,19,0.3275
广西,364,121,96.0,66.0,120.0,19.0,126.0,20.0,4.0,3.0,0.013090229079008883,20,0.26373626373626374
内蒙古,345,99,228.0,78.0,99.0,9.0,11.0,6.0,3.0,2.0,0.01240694789081886,21,0.6608695652173913
重庆,337,102,86.0,65.0,192.0,19.0,30.0,10.0,14.0,6.0,0.012119250548423059,22,0.2551928783382789
江西,330,138,133.0,95.0,120.0,15.0,69.0,21.0,4.0,3.0,0.011867515373826734,23,0.403030303030303
海南,301,86,79.0,54.0,69.0,5.0,149.0,23.0,0.0,0.0,0.01082461250764196,24,0.26245847176079734
山西,198,71,72.0,42.0,107.0,12.0,13.0,11.0,2.0,2.0,0.007120509224296041,25,0.36363636363636365
贵州,197,94,55.0,46.0,86.0,14.0,45.0,24.0,5.0,4.0,0.007084547056496565,26,0.27918781725888325
新疆,168,65,97.0,50.0,48.0,3.0,20.0,10.0,0.0,0.0,0.006041644190311792,27,0.5773809523809523
甘肃,158,53,31.0,28.0,53.0,9.0,70.0,14.0,1.0,1.0,0.005682022512317042,28,0.1962025316455696
宁夏,121,35,78.0,24.0,29.0,3.0,10.0,6.0,3.0,1.0,0.004351422303736469,29,0.6446280991735537
西藏,31,10,11.0,6.0,3.0,1.0,17.0,3.0,0.0,0.0,0.0011148272017837235,30,0.3548387096774194
台湾,28,20,18.0,13.0,0.0,0.0,6.0,3.0,1.0,1.0,0.0010069406983852986,31,0.6428571428571429
青海,25,11,7.0,7.0,10.0,2.0,8.0,2.0,0.0,0.0,0.0008990541949868738,32,0.28
香港,19,17,13.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0006832811881900241,33,0.6842105263157895
澳门,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.596216779947495e-05,34,0.0
