省级地区,year,专利数,创新主体数,企业专利数,企业数,当年全国专利占比,当年专利排名
上海,2021,255,101,89.0,68.0,0.05199836867862969,7
上海,2022,351,125,136.0,81.0,0.061492641906096705,5
上海,2023,394,159,180.0,119.0,0.0598875208998328,6
上海,2024,305,167,173.0,127.0,0.05349000350754121,6
上海,2025,271,132,131.0,92.0,0.05514855514855515,6
北京,2021,503,149,133.0,79.0,0.10256933115823817,2
北京,2022,634,214,211.0,126.0,0.11107217939733707,2
北京,2023,544,199,190.0,123.0,0.082687338501292,4
北京,2024,490,189,162.0,108.0,0.08593475973342687,4
北京,2025,414,156,106.0,83.0,0.08424908424908426,5
安徽,2021,111,72,57.0,48.0,0.02263458401305057,12
安徽,2022,166,68,75.0,45.0,0.02908199018920813,10
安徽,2023,188,86,84.0,58.0,0.028575771393828848,10
安徽,2024,129,68,64.0,48.0,0.022623640827779727,10
安徽,2025,181,62,60.0,34.0,0.03683353683353684,9
广东,2021,482,255,243.0,182.0,0.09828711256117455,3
广东,2022,590,298,282.0,213.0,0.10336370007007709,4
广东,2023,837,410,461.0,305.0,0.12722298221614228,2
广东,2024,740,421,453.0,324.0,0.12977902490354262,2
广东,2025,601,318,319.0,238.0,0.12230362230362231,2
江苏,2021,690,200,177.0,138.0,0.1407014681892333,1
江苏,2022,893,215,213.0,160.0,0.15644709180098107,1
江苏,2023,1093,306,358.0,230.0,0.16613467092263262,1
江苏,2024,824,331,390.0,268.0,0.14451069800070152,1
江苏,2025,685,228,229.0,169.0,0.1393976393976394,1
浙江,2021,445,187,165.0,130.0,0.09074225122349103,4
浙江,2022,344,150,127.0,105.0,0.060266292922214436,6
浙江,2023,402,162,175.0,122.0,0.061103511171910624,5
浙江,2024,325,162,162.0,122.0,0.05699754472115048,5
浙江,2025,438,166,153.0,115.0,0.08913308913308914,4
