year,技术路线,专利数,创新主体数,当年上海专利占比
2021,生物设计、读写与自动化工具,18,12,0.07058823529411765
2022,生物设计、读写与自动化工具,48,27,0.13675213675213677
2023,生物设计、读写与自动化工具,56,39,0.14213197969543148
2024,生物设计、读写与自动化工具,34,23,0.11147540983606558
2025,生物设计、读写与自动化工具,36,23,0.13284132841328414
2021,酶与蛋白质工程,21,11,0.08235294117647059
2022,酶与蛋白质工程,25,13,0.07122507122507123
2023,酶与蛋白质工程,46,26,0.116751269035533
2024,酶与蛋白质工程,24,16,0.07868852459016394
2025,酶与蛋白质工程,19,16,0.07011070110701106
2021,细胞工厂与菌株工程,21,14,0.08235294117647059
2022,细胞工厂与菌株工程,30,12,0.08547008547008547
2023,细胞工厂与菌株工程,36,17,0.09137055837563451
2024,细胞工厂与菌株工程,24,14,0.07868852459016394
2025,细胞工厂与菌株工程,27,16,0.0996309963099631
2021,生物过程与规模化,94,48,0.3686274509803922
2022,生物过程与规模化,108,53,0.3076923076923077
2023,生物过程与规模化,128,76,0.3248730964467005
2024,生物过程与规模化,119,78,0.3901639344262295
2025,生物过程与规模化,74,53,0.2730627306273063
2021,原料与低碳路线,3,2,0.011764705882352941
2022,原料与低碳路线,2,2,0.005698005698005698
2023,原料与低碳路线,1,1,0.0025380710659898475
2024,原料与低碳路线,4,4,0.013114754098360656
2025,原料与低碳路线,1,1,0.0036900369003690036
2021,生物制造产品与应用,90,50,0.35294117647058826
2022,生物制造产品与应用,120,56,0.3418803418803419
2023,生物制造产品与应用,114,60,0.2893401015228426
2024,生物制造产品与应用,86,67,0.2819672131147541
2025,生物制造产品与应用,99,59,0.36531365313653136
2021,前沿制造与基础支撑,8,6,0.03137254901960784
2022,前沿制造与基础支撑,18,13,0.05128205128205128
2023,前沿制造与基础支撑,13,8,0.03299492385786802
2024,前沿制造与基础支撑,14,10,0.04590163934426229
2025,前沿制造与基础支撑,15,10,0.055350553505535055
