省级地区,技术路线,专利数,创新主体数,地区内专利占比
上海,生物设计、读写与自动化工具,52,41,0.07334273624823695
北京,生物设计、读写与自动化工具,68,39,0.08478802992518704
安徽,生物设计、读写与自动化工具,17,10,0.05
广东,生物设计、读写与自动化工具,106,72,0.06029579067121729
江苏,生物设计、读写与自动化工具,123,65,0.08997805413313825
浙江,生物设计、读写与自动化工具,37,32,0.04731457800511509
上海,酶与蛋白质工程,46,32,0.06488011283497884
北京,酶与蛋白质工程,30,20,0.03740648379052369
安徽,酶与蛋白质工程,20,12,0.058823529411764705
广东,酶与蛋白质工程,108,62,0.06143344709897611
江苏,酶与蛋白质工程,140,83,0.10241404535479151
浙江,酶与蛋白质工程,94,60,0.12020460358056266
上海,细胞工厂与菌株工程,35,28,0.04936530324400564
北京,细胞工厂与菌株工程,49,37,0.06109725685785536
安徽,细胞工厂与菌株工程,23,15,0.06764705882352941
广东,细胞工厂与菌株工程,78,53,0.04436860068259386
江苏,细胞工厂与菌株工程,66,45,0.048280907095830286
浙江,细胞工厂与菌株工程,44,39,0.056265984654731455
上海,生物过程与规模化,301,193,0.4245416078984485
北京,生物过程与规模化,365,187,0.4551122194513716
安徽,生物过程与规模化,160,106,0.47058823529411764
广东,生物过程与规模化,653,450,0.3714448236632537
江苏,生物过程与规模化,638,400,0.4667154352596928
浙江,生物过程与规模化,328,231,0.4194373401534527
上海,原料与低碳路线,5,5,0.007052186177715092
北京,原料与低碳路线,15,5,0.018703241895261846
安徽,原料与低碳路线,2,2,0.0058823529411764705
广东,原料与低碳路线,3,3,0.0017064846416382253
江苏,原料与低碳路线,6,6,0.0043891733723482075
浙江,原料与低碳路线,5,4,0.00639386189258312
上海,生物制造产品与应用,252,160,0.3554301833568406
北京,生物制造产品与应用,258,165,0.32169576059850374
安徽,生物制造产品与应用,112,64,0.32941176470588235
广东,生物制造产品与应用,754,506,0.42889647326507396
江苏,生物制造产品与应用,358,249,0.2618873445501097
浙江,生物制造产品与应用,259,189,0.3312020460358056
上海,前沿制造与基础支撑,18,10,0.02538787023977433
北京,前沿制造与基础支撑,17,14,0.02119700748129676
安徽,前沿制造与基础支撑,6,4,0.01764705882352941
广东,前沿制造与基础支撑,56,38,0.03185437997724687
江苏,前沿制造与基础支撑,36,25,0.026335040234089245
浙江,前沿制造与基础支撑,15,10,0.01918158567774936
