省级地区,技术路线,专利数,创新主体数,地区内专利占比
上海,生物设计、读写与自动化工具,114,24,0.14690721649484537
北京,生物设计、读写与自动化工具,269,56,0.16165865384615385
安徽,生物设计、读写与自动化工具,41,15,0.09669811320754718
广东,生物设计、读写与自动化工具,252,52,0.180386542591267
江苏,生物设计、读写与自动化工具,221,32,0.08062750820868296
浙江,生物设计、读写与自动化工具,158,25,0.1400709219858156
上海,酶与蛋白质工程,88,14,0.1134020618556701
北京,酶与蛋白质工程,103,32,0.061899038461538464
安徽,酶与蛋白质工程,36,16,0.08490566037735849
广东,酶与蛋白质工程,117,30,0.08375089477451682
江苏,酶与蛋白质工程,477,41,0.17402407880335644
浙江,酶与蛋白质工程,190,27,0.16843971631205673
上海,细胞工厂与菌株工程,98,19,0.12628865979381443
北京,细胞工厂与菌株工程,317,36,0.19050480769230768
安徽,细胞工厂与菌株工程,38,11,0.08962264150943396
广东,细胞工厂与菌株工程,113,34,0.08088761632068718
江苏,细胞工厂与菌株工程,329,35,0.12002918642831084
浙江,细胞工厂与菌株工程,80,15,0.07092198581560284
上海,生物过程与规模化,207,28,0.2667525773195876
北京,生物过程与规模化,391,58,0.23497596153846154
安徽,生物过程与规模化,148,29,0.3490566037735849
广东,生物过程与规模化,329,74,0.23550465282748748
江苏,生物过程与规模化,723,63,0.26377234585917547
浙江,生物过程与规模化,318,47,0.28191489361702127
上海,原料与低碳路线,6,3,0.007731958762886598
北京,原料与低碳路线,30,18,0.018028846153846152
安徽,原料与低碳路线,10,7,0.02358490566037736
广东,原料与低碳路线,29,15,0.020758768790264854
江苏,原料与低碳路线,38,14,0.013863553447646844
浙江,原料与低碳路线,5,3,0.004432624113475178
上海,生物制造产品与应用,227,35,0.2925257731958763
北京,生物制造产品与应用,485,65,0.29146634615384615
安徽,生物制造产品与应用,146,27,0.3443396226415094
广东,生物制造产品与应用,492,97,0.3521832498210451
江苏,生物制造产品与应用,868,57,0.3166727471725648
浙江,生物制造产品与应用,342,51,0.30319148936170215
上海,前沿制造与基础支撑,36,13,0.04639175257731959
北京,前沿制造与基础支撑,69,18,0.04146634615384615
安徽,前沿制造与基础支撑,5,3,0.01179245283018868
广东,前沿制造与基础支撑,65,22,0.046528274874731566
江苏,前沿制造与基础支撑,85,20,0.031010580080262678
浙江,前沿制造与基础支撑,35,9,0.03102836879432624
