主体类型,技术路线,专利数,主体数,类型内专利占比
企业,生物设计、读写与自动化工具,52,41,0.07334273624823695
科研院所,生物设计、读写与自动化工具,35,13,0.1891891891891892
高校,生物设计、读写与自动化工具,79,11,0.13367174280879865
企业,酶与蛋白质工程,46,32,0.06488011283497884
科研院所,酶与蛋白质工程,8,4,0.043243243243243246
高校,酶与蛋白质工程,80,10,0.1353637901861252
企业,细胞工厂与菌株工程,35,28,0.04936530324400564
科研院所,细胞工厂与菌株工程,29,6,0.15675675675675677
高校,细胞工厂与菌株工程,69,13,0.116751269035533
企业,生物过程与规模化,301,193,0.4245416078984485
科研院所,生物过程与规模化,39,10,0.21081081081081082
高校,生物过程与规模化,168,18,0.28426395939086296
企业,原料与低碳路线,5,5,0.007052186177715092
科研院所,原料与低碳路线,2,1,0.010810810810810811
高校,原料与低碳路线,4,2,0.00676818950930626
企业,生物制造产品与应用,252,160,0.3554301833568406
科研院所,生物制造产品与应用,63,17,0.34054054054054056
高校,生物制造产品与应用,164,18,0.27749576988155666
企业,前沿制造与基础支撑,18,10,0.02538787023977433
科研院所,前沿制造与基础支撑,9,4,0.04864864864864865
高校,前沿制造与基础支撑,27,9,0.04568527918781726
