省级地区,主体类型,专利数,三类主体内部占比,占地区全部专利比重,三类主体专利合计
上海,企业,709,0.47744107744107744,0.4498730964467005,1485
上海,科研院所,185,0.12457912457912458,0.11738578680203046,1485
上海,高校,591,0.397979797979798,0.375,1485
北京,企业,802,0.32522303325223034,0.31025145067698257,2466
北京,科研院所,861,0.3491484184914842,0.3330754352030948,2466
北京,高校,803,0.32562854825628545,0.31063829787234043,2466
安徽,企业,340,0.44502617801047123,0.43870967741935485,764
安徽,科研院所,77,0.10078534031413612,0.09935483870967741,764
安徽,高校,347,0.45418848167539266,0.447741935483871,764
广东,企业,1758,0.5572107765451664,0.540923076923077,3155
广东,科研院所,533,0.16893819334389856,0.164,3155
广东,高校,864,0.27385103011093503,0.26584615384615384,3155
江苏,企业,1367,0.3327653359298929,0.32664277180406215,4108
江苏,科研院所,246,0.05988315481986368,0.05878136200716846,4108
江苏,高校,2495,0.6073515092502434,0.5961768219832736,4108
浙江,企业,782,0.4094240837696335,0.4002047082906858,1910
浙江,科研院所,150,0.07853403141361257,0.0767656090071648,1910
浙江,高校,978,0.512041884816754,0.5005117707267144,1910
