省级地区,量子相关专利数,创新主体数,明确企业数,企业专利数,企业专利占比,严格核心专利数,严格核心专利占比,核心口径专利数,PNT候选专利数,高相关专利占比,量子识别得分均值,被引字段覆盖率
北京市,187,52,19,75,0.40106951871657753,149,0.7967914438502673,157,30,0.33689839572192515,8.037433155080214,0.0374331550802139
浙江省,94,18,8,68,0.723404255319149,84,0.8936170212765957,87,7,0.2553191489361702,6.468085106382978,0.02127659574468085
江苏省,73,29,13,25,0.3424657534246575,60,0.821917808219178,69,4,0.3150684931506849,6.671232876712328,0.0410958904109589
安徽省,66,9,5,46,0.696969696969697,62,0.9393939393939394,63,3,0.4696969696969697,8.075757575757576,0.045454545454545456
上海市,65,24,13,29,0.4461538461538462,44,0.676923076923077,47,18,0.27692307692307694,6.292307692307692,0.09230769230769231
广东省,52,29,18,32,0.6153846153846154,45,0.8653846153846154,48,4,0.40384615384615385,7.384615384615385,0.07692307692307693
陕西省,38,13,4,4,0.10526315789473684,22,0.5789473684210527,22,16,0.18421052631578946,5.2105263157894735,0.07894736842105263
湖北省,35,16,6,9,0.2571428571428571,23,0.6571428571428571,23,12,0.14285714285714285,5.8,0.02857142857142857
四川省,35,12,5,13,0.37142857142857144,28,0.8,31,4,0.34285714285714286,6.914285714285715,0.11428571428571428
湖南省,26,8,1,1,0.038461538461538464,24,0.9230769230769231,25,1,0.3076923076923077,6.730769230769231,0.038461538461538464
山东省,20,12,8,15,0.75,14,0.7,15,5,0.35,6.9,0.15
黑龙江省,14,5,2,2,0.14285714285714285,12,0.8571428571428571,12,2,0.42857142857142855,7.571428571428571,0.14285714285714285
重庆市,10,6,2,2,0.2,9,0.9,9,1,0.5,8.7,0.1
吉林省,10,5,0,0,0.0,8,0.8,9,1,0.4,7.5,0.1
山西省,10,3,0,0,0.0,8,0.8,9,1,0.3,6.2,0.1
福建省,7,6,5,6,0.8571428571428571,7,1.0,7,0,0.5714285714285714,8.714285714285714,0.0
江西省,7,4,1,1,0.14285714285714285,7,1.0,7,0,0.42857142857142855,8.142857142857142,0.0
广西壮族自治区,7,2,0,0,0.0,6,0.8571428571428571,7,0,0.5714285714285714,12.428571428571429,0.0
天津市,6,5,4,4,0.6666666666666666,4,0.6666666666666666,6,0,0.0,4.666666666666667,0.0
河南省,6,5,1,1,0.16666666666666666,5,0.8333333333333334,6,0,0.16666666666666666,6.0,0.0
辽宁省,4,3,0,0,0.0,4,1.0,4,0,0.0,5.0,0.0
河北省,3,3,2,2,0.6666666666666666,1,0.3333333333333333,2,1,0.0,4.0,0.3333333333333333
内蒙古自治区,1,1,1,1,1.0,1,1.0,1,0,0.0,5.0,0.0
台湾省,1,1,1,1,1.0,1,1.0,1,0,0.0,5.0,0.0
新疆维吾尔自治区,1,1,1,1,1.0,1,1.0,1,0,0.0,5.0,0.0
