省级地区,year,量子相关专利数,创新主体数,明确企业数,企业专利数,严格核心专利数,PNT候选专利数
上海市,2021,65,24,13,29,44,18
内蒙古自治区,2021,1,1,1,1,1,0
北京市,2021,187,52,19,75,149,30
台湾省,2021,1,1,1,1,1,0
吉林省,2021,10,5,0,0,8,1
四川省,2021,35,12,5,13,28,4
天津市,2021,6,5,4,4,4,0
安徽省,2021,66,9,5,46,62,3
山东省,2021,20,12,8,15,14,5
山西省,2021,10,3,0,0,8,1
广东省,2021,52,29,18,32,45,4
广西壮族自治区,2021,7,2,0,0,6,0
新疆维吾尔自治区,2021,1,1,1,1,1,0
江苏省,2021,73,29,13,25,60,4
江西省,2021,7,4,1,1,7,0
河北省,2021,3,3,2,2,1,1
河南省,2021,6,5,1,1,5,0
浙江省,2021,94,18,8,68,84,7
湖北省,2021,35,16,6,9,23,12
湖南省,2021,26,8,1,1,24,1
福建省,2021,7,6,5,6,7,0
辽宁省,2021,4,3,0,0,4,0
重庆市,2021,10,6,2,2,9,1
陕西省,2021,38,13,4,4,22,16
黑龙江省,2021,14,5,2,2,12,2
