省级地区,类别,专利数,地区内占比
上海市,量子传感,26,0.4
上海市,量子基础概念,3,0.046153846153846156
上海市,量子计算,5,0.07692307692307693
上海市,量子计算硬件,6,0.09230769230769231
上海市,量子通信与安全,25,0.38461538461538464
北京市,量子传感,56,0.2994652406417112
北京市,量子基础概念,8,0.0427807486631016
北京市,量子计算,43,0.22994652406417113
北京市,量子计算硬件,16,0.0855614973262032
北京市,量子通信与安全,64,0.3422459893048128
安徽省,量子传感,7,0.10606060606060606
安徽省,量子基础概念,1,0.015151515151515152
安徽省,量子计算,24,0.36363636363636365
安徽省,量子计算硬件,5,0.07575757575757576
安徽省,量子通信与安全,29,0.4393939393939394
江苏省,量子传感,12,0.1643835616438356
江苏省,量子基础概念,8,0.1095890410958904
江苏省,量子计算,8,0.1095890410958904
江苏省,量子计算硬件,3,0.0410958904109589
江苏省,量子通信与安全,42,0.5753424657534246
浙江省,量子传感,9,0.09574468085106383
浙江省,量子基础概念,3,0.031914893617021274
浙江省,量子计算,50,0.5319148936170213
浙江省,量子计算硬件,6,0.06382978723404255
浙江省,量子通信与安全,26,0.2765957446808511
广东省,量子传感,12,0.23076923076923078
广东省,量子基础概念,3,0.057692307692307696
广东省,量子计算,7,0.1346153846153846
广东省,量子计算硬件,7,0.1346153846153846
广东省,量子通信与安全,23,0.4423076923076923
