第一申请人,主体大类,第一申请人城市,专利数,活跃年份数,最早年份,最晚年份,高相关专利数,中相关专利数,严格核心专利数,PNT候选专利数,量子识别得分均值,主要技术方向,技术方向覆盖,产业链环节覆盖,被引字段覆盖率,被引次数合计
上海交通大学,高校,上海市,13,1,2021,2021,5,2,7,5,6.615384615384615,量子传感,量子通信与安全；量子计算；量子计算硬件；量子传感；量子基础概念,量子通信与安全；量子计算系统；量子计算硬件/量子芯片；量子计量/时间频率/PNT候选；其他量子相关/待复核,0.23076923076923078,3.0
上海循态信息科技有限公司,企业,上海市,8,1,2021,2021,5,3,8,0,9.25,量子通信与安全,量子通信与安全,量子通信与安全,0.25,7.0
国科量子通信网络有限公司,企业,上海市,8,1,2021,2021,3,5,8,0,6.75,量子通信与安全,量子通信与安全,量子通信与安全,0.0,0.0
华东师范大学,高校,上海市,6,1,2021,2021,3,2,5,0,7.666666666666667,量子传感,量子基础概念；量子传感；量子计算硬件,其他量子相关/待复核；量子计量/时间频率/PNT候选；量子计算硬件/量子芯片；量子传感器/精密测量,0.0,0.0
中国科学院微小卫星创新研究院,科研院所,上海市,4,1,2021,2021,0,1,1,3,3.5,量子传感,量子通信与安全；量子传感,量子通信与安全；量子计量/时间频率/PNT候选,0.0,0.0
中国科学院上海光学精密机械研究所,科研院所,上海市,4,1,2021,2021,0,0,0,4,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,0.0,0.0
华东计算技术研究所(中国电子科技集团公司第三十二研究所),企业,上海市,2,1,2021,2021,1,1,2,0,12.0,量子计算硬件,量子计算硬件；量子计算,量子计算硬件/量子芯片；量子计算系统,0.0,0.0
复旦大学,高校,上海市,2,1,2021,2021,0,2,2,0,5.5,量子计算硬件,量子计算硬件；量子传感,量子计算硬件/量子芯片；量子传感器/精密测量,0.5,2.0
上海裕达实业有限公司,企业,上海市,2,1,2021,2021,0,2,2,0,5.0,量子计算硬件,量子计算硬件,量子计算硬件/量子芯片,0.0,0.0
东华大学,高校,上海市,2,1,2021,2021,0,2,2,0,5.0,量子通信与安全,量子通信与安全,量子通信与安全,0.0,0.0
上海朗研光电科技有限公司,企业,上海市,1,1,2021,2021,1,0,1,0,14.0,量子通信与安全,量子通信与安全,量子通信与安全,0.0,0.0
上海循态量子科技有限公司,企业,上海市,1,1,2021,2021,0,1,1,0,6.0,量子通信与安全,量子通信与安全,量子通信与安全,0.0,0.0
上海理工大学,高校,上海市,1,1,2021,2021,0,1,1,0,6.0,量子传感,量子传感,量子传感器/精密测量,0.0,0.0
上海国盾量子信息技术有限公司,企业,上海市,1,1,2021,2021,0,1,1,0,5.0,量子通信与安全,量子通信与安全,量子通信与安全,0.0,0.0
上海蔚来汽车有限公司,企业,上海市,1,1,2021,2021,0,1,1,0,5.0,量子传感,量子传感,量子传感器/精密测量,0.0,0.0
