第一申请人,主体类型,省级地区,第一申请人城市标准化,year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,main_quantum_category,type_review_count
上海中绿新能源科技有限公司,企业,上海,上海,2024,1,3,3.0,量子传感,量子传感,0
上海交大知识产权管理有限公司,企业,上海,上海,2023,2,18,9.0,量子计算,量子计算,0
上海交通大学,高校,上海,上海,2021,13,86,6.615384615384615,量子通信与安全；量子计算；量子计算硬件；量子传感；量子基础概念,量子传感,0
上海交通大学,高校,上海,上海,2022,13,49,3.769230769230769,量子传感；量子基础概念；量子计算,量子传感,0
上海交通大学,高校,上海,上海,2023,7,43,6.142857142857143,量子传感；量子通信与安全,量子传感,0
上海交通大学,高校,上海,上海,2024,1,21,21.0,量子传感,量子传感,0
上海交通大学,高校,上海,上海,2025,8,62,7.75,量子基础概念；量子计算；量子计算硬件；量子传感；量子通信与安全,量子基础概念,0
上海交通大学医学院附属仁济医院,高校,上海,上海,2025,1,5,5.0,量子计算,量子计算,0
上海交通大学医学院附属瑞金医院,高校,上海,上海,2025,1,3,3.0,量子传感,量子传感,0
上海亦波亦粒科技有限公司,企业,上海,上海,2025,1,5,5.0,量子计算,量子计算,0
上海众人网络安全技术有限公司,企业,上海,上海,2021,1,3,3.0,量子传感,量子传感,0
上海优扬新媒信息技术有限公司,企业,上海,上海,2021,1,3,3.0,量子传感,量子传感,0
上海健康医学院,高校,上海,上海,2023,1,5,5.0,量子计算,量子计算,0
上海先积集成电路有限公司,企业,上海,上海,2023,1,3,3.0,量子传感,量子传感,0
上海光链电子科技有限公司,企业,上海,上海,2024,1,3,3.0,量子传感,量子传感,0
上海公安学院,高校,上海,上海,2025,1,5,5.0,量子通信与安全,量子通信与安全,0
上海助通信息科技有限公司,企业,上海,上海,2025,1,14,14.0,量子通信与安全,量子通信与安全,0
上海卫星工程研究所,科研院所,上海,上海,2021,1,3,3.0,量子传感,量子传感,0
上海卫星工程研究所,科研院所,上海,上海,2024,1,10,10.0,量子传感,量子传感,0
上海卫星工程研究所,科研院所,上海,上海,2025,1,3,3.0,量子传感,量子传感,0
上海同态信息科技有限责任公司,企业,上海,上海,2025,1,10,10.0,量子通信与安全,量子通信与安全,0
上海国盾量子信息技术有限公司,企业,上海,上海,2021,1,5,5.0,量子通信与安全,量子通信与安全,0
上海国盾量子信息技术有限公司,企业,上海,上海,2023,2,15,7.5,量子通信与安全,量子通信与安全,0
上海国盾量子信息技术有限公司,企业,上海,上海,2024,10,71,7.1,量子通信与安全,量子通信与安全,0
上海国科航星量子科技有限公司,企业,上海,上海,2022,2,10,5.0,量子通信与安全,量子通信与安全,0
上海图灵智算量子科技有限公司,企业,上海,上海,2022,1,12,12.0,量子计算,量子计算,0
上海图灵智算量子科技有限公司,企业,上海,上海,2023,2,29,14.5,量子计算,量子计算,0
上海图灵智算量子科技有限公司,企业,上海,上海,2024,2,24,12.0,量子计算,量子计算,0
上海图灵智算量子科技有限公司,企业,上海,上海,2025,4,42,10.5,量子计算；量子计算硬件,量子计算,0
上海大学,高校,上海,上海,2021,1,4,4.0,量子基础概念,量子基础概念,0
上海大学,高校,上海,上海,2022,1,5,5.0,量子传感,量子传感,0
上海大学,高校,上海,上海,2024,1,5,5.0,量子通信与安全,量子通信与安全,0
上海大帜信息技术有限公司,企业,上海,上海,2024,1,3,3.0,量子传感,量子传感,0
上海安密信科技有限公司,企业,上海,上海,2023,1,5,5.0,量子计算,量子计算,0
上海工程技术大学,高校,上海,上海,2023,1,5,5.0,量子计算,量子计算,0
上海循态信息科技有限公司,企业,上海,上海,2021,8,74,9.25,量子通信与安全,量子通信与安全,0
上海循态量子科技有限公司,企业,上海,上海,2021,1,6,6.0,量子通信与安全,量子通信与安全,0
上海循态量子科技有限公司,企业,上海,上海,2022,9,59,6.555555555555555,量子通信与安全,量子通信与安全,0
上海循态量子科技有限公司,企业,上海,上海,2024,6,29,4.833333333333333,量子通信与安全；量子基础概念,量子通信与安全,0
上海循态量子科技有限公司,企业,上海,上海,2025,3,16,5.333333333333333,量子通信与安全,量子通信与安全,0
上海循源生物科技有限公司,企业,上海,上海,2025,1,4,4.0,量子基础概念,量子基础概念,0
上海微观纪元数字科技有限公司,企业,上海,上海,2023,1,19,19.0,量子通信与安全,量子通信与安全,0
上海微观纪元数字科技有限公司,企业,上海,上海,2025,1,9,9.0,量子计算,量子计算,0
上海思量量子科技有限公司,企业,上海,上海,2022,1,5,5.0,量子传感,量子传感,0
上海惟堪建筑工程技术有限公司,企业,上海,上海,2024,1,3,3.0,量子传感,量子传感,0
上海方位角数据科技有限公司,企业,上海,上海,2023,1,3,3.0,量子传感,量子传感,0
上海无线电设备研究所,科研院所,上海,上海,2021,1,3,3.0,量子传感,量子传感,0
上海旺脉信息科技集团有限公司,企业,上海,上海,2025,1,14,14.0,量子计算,量子计算,0
上海晶维材料科技有限公司,企业,上海,上海,2025,1,3,3.0,量子传感,量子传感,0
上海朗研光电科技有限公司,企业,上海,上海,2021,1,14,14.0,量子通信与安全,量子通信与安全,0
上海朝夕网络技术有限公司,企业,上海,上海,2024,1,5,5.0,量子通信与安全,量子通信与安全,0
上海期智研究院,科研院所,上海,上海,2025,1,5,5.0,量子通信与安全,量子通信与安全,0
上海梦象智能科技有限公司,企业,上海,上海,2024,1,3,3.0,量子传感,量子传感,0
上海民航职业技术学院,高校,上海,上海,2025,1,7,7.0,量子计算,量子计算,0
上海海事大学,高校,上海,上海,2022,1,5,5.0,量子计算,量子计算,0
