第一申请人,第一申请人地区,第一申请人城市,first_year,last_year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,chain_positions,matched_terms,high_related_count,medium_related_count,low_related_count,timefreq_candidate_count,first_applicant_types,main_chain_position,main_quantum_category,firm_relevance
D 波系统公司,加拿大,,2024,2024,1,5,5.0,量子计算,量子计算系统,量子处理器,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
D-波系统公司,加拿大,,2024,2025,4,24,6.0,量子计算,量子计算系统,量子处理器；量子相干,1,3,0,0,企业,量子计算系统,量子计算,核心量子企业
DH科技发展私人贸易有限公司,新加坡,,2024,2025,4,20,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,4,0,0,企业,量子计算硬件/量子芯片,量子计算硬件,核心量子企业
DSM营养产品有限责任公司,美国,,2025,2025,1,4,4.0,量子基础概念,其他量子相关/待复核,量子相干,0,0,1,0,企业,其他量子相关/待复核,量子基础概念,候选/待复核企业
IDAC控股公司,美国,,2025,2025,1,5,5.0,量子通信与安全,量子通信与安全,量子网络,0,1,0,0,企业,量子通信与安全,量子通信与安全,候选/待复核企业
ID量子技术公司,瑞士,,2024,2024,1,5,5.0,量子通信与安全,量子通信与安全,QKD；量子密钥；量子密钥分发,0,1,0,0,企业,量子通信与安全,量子通信与安全,候选/待复核企业
IFP新能源公司,法国,,2024,2024,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0,企业,量子传感器/精密测量,量子传感,候选/待复核企业
ILLUMINA公司,美国,,2024,2024,1,5,5.0,量子计算,量子计算系统,qubit,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
IMEC 非营利协会,比利时,,2024,2025,2,19,9.5,量子计算；量子计算硬件,量子计算硬件/量子芯片；量子计算系统,qubit；自旋量子比特；量子比特；量子计算,1,1,0,0,机关团体,量子计算系统,量子计算,较高相关企业
IQM芬兰有限公司,芬兰,,2025,2025,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
JSR株式会社,日本,,2025,2025,1,14,14.0,量子计算,量子软件/算法/模拟,量子比特；量子算法；量子计算；量子计算机,1,0,0,0,企业,量子软件/算法/模拟,量子计算,较高相关企业
Q CTRL股份有限公司,澳大利亚,,2024,2024,1,5,5.0,量子计算,量子计算系统,量子处理器,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
Q-CTRL股份有限公司,澳大利亚,,2025,2025,1,5,5.0,量子计算,量子计算系统,量子处理器；量子计算,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
QC韦尔公司,美国,,2024,2024,1,19,19.0,量子计算,量子计算系统,量子态；量子比特；量子电路；量子计算；量子计算机,1,0,0,0,企业,量子计算系统,量子计算,较高相关企业
QM威尔股份公司,瑞士,,2025,2025,1,19,19.0,量子传感,量子计算系统,量子信息；量子信息技术；量子处理器；量子纠缠；量子计算；量子计算机；量子门,1,0,0,0,企业,量子计算系统,量子传感,较高相关企业
RTQC公司,美国,,2024,2024,1,5,5.0,量子计算,量子计算系统,量子计算；量子计算机,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
一脉通(深圳)智能科技有限公司,中国,深圳,2025,2025,1,9,9.0,量子计算,量子计算系统,量子态；量子比特,1,0,0,0,企业,量子计算系统,量子计算,较高相关企业
丁爱民,中国,北京市,2022,2022,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,个人,量子计算系统,量子计算,候选/待复核企业
万事通科技(杭州)有限公司,中国,杭州,2024,2024,2,8,4.0,量子基础概念,其他量子相关/待复核,量子态,0,0,2,0,企业,其他量子相关/待复核,量子基础概念,候选/待复核企业
万事通科技(杭州)有限公司,中国,杭州市,2023,2023,1,13,13.0,量子计算,量子计算系统,单光子探测器；激光器；量子态；量子比特,1,0,0,0,企业,量子计算系统,量子计算,较高相关企业
万桥信息技术有限公司,中国,兰州,2024,2024,1,10,10.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发；量子通信,1,0,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
三峡大学,中国,宜昌,2024,2024,4,92,23.0,量子通信与安全,量子通信与安全,抗量子攻击；量子信息；量子密钥；量子密钥分发；量子并行；量子态；量子比特；量子电路；量子纠缠；量子计算；量子计算机；量子通信,4,0,0,0,学校,量子通信与安全,量子通信与安全,核心量子企业
三峡大学,中国,宜昌市,2021,2023,7,67,9.571428571428571,量子基础概念；量子通信与安全,其他量子相关/待复核；量子通信与安全,QKD；激光器；量子密钥；量子密钥分配；量子态；量子比特；量子纠缠；量子通信,4,0,3,0,学校,量子通信与安全,量子通信与安全,核心量子企业
三峡新能源云南师宗发电有限公司,中国,曲靖,2025,2025,1,14,14.0,量子传感,量子计算系统,量子信息；量子叠加；量子态；量子比特,1,0,0,0,"企业,学校,企业",量子计算系统,量子传感,较高相关企业
三峡智能工程有限公司,中国,武汉,2024,2024,1,5,5.0,量子通信与安全,量子通信与安全,QKD,0,1,0,0,企业,量子通信与安全,量子通信与安全,候选/待复核企业
三峡金沙江云川水电开发有限公司,中国,昆明,2025,2025,1,6,6.0,量子传感,量子传感器/精密测量,NV色心；激光器；金刚石NV色心,0,1,0,0,企业,量子传感器/精密测量,量子传感,候选/待复核企业
三峡金沙江川云水电开发有限公司,中国,成都,2025,2025,1,5,5.0,量子通信与安全,量子通信与安全,QKD,0,1,0,0,企业,量子通信与安全,量子通信与安全,候选/待复核企业
三星电子株式会社,韩国,,2025,2025,1,10,10.0,量子计算,量子计算系统,量子比特；量子计算,1,0,0,0,企业,量子计算系统,量子计算,较高相关企业
