第一申请人城市_原值,第一申请人城市标准化,省级地区,城市映射状态,专利数
合肥,合肥,安徽,城市映射成功,857
北京,北京,北京,城市映射成功,804
北京市,北京,北京,城市映射成功,764
合肥市,合肥,安徽,城市映射成功,406
南京市,南京,江苏,城市映射成功,204
南京,南京,江苏,城市映射成功,199
上海市,上海,上海,城市映射成功,198
,,美国,境外申请人,167
深圳,深圳,广东,城市映射成功,159
上海,上海,上海,城市映射成功,157
西安,西安,陕西,城市映射成功,151
杭州,杭州,浙江,城市映射成功,147
杭州市,杭州,浙江,城市映射成功,136
济南,济南,山东,城市映射成功,135
西安市,西安,陕西,城市映射成功,134
成都市,成都,四川,城市映射成功,133
绍兴市,绍兴,浙江,城市映射成功,132
武汉,武汉,湖北,城市映射成功,129
苏州市,苏州,江苏,城市映射成功,128
深圳市,深圳,广东,城市映射成功,126
广州,广州,广东,城市映射成功,120
广州市,广州,广东,城市映射成功,116
苏州,苏州,江苏,城市映射成功,116
成都,成都,四川,城市映射成功,111
武汉市,武汉,湖北,城市映射成功,101
长沙市,长沙,湖南,城市映射成功,86
济南市,济南,山东,城市映射成功,80
长沙,长沙,湖南,城市映射成功,76
哈尔滨市,哈尔滨,黑龙江,城市映射成功,39
天津市,天津,天津,城市映射成功,36
重庆市,重庆,重庆,城市映射成功,35
太原市,太原,山西,城市映射成功,35
青岛,青岛,山东,城市映射成功,34
重庆,重庆,重庆,城市映射成功,33
郑州市,郑州,河南,城市映射成功,33
长春市,长春,吉林,城市映射成功,32
郑州,郑州,河南,城市映射成功,32
绍兴,绍兴,浙江,城市映射成功,29
无锡,无锡,江苏,城市映射成功,26
,,日本,境外申请人,26
,,德国,境外申请人,26
长春,长春,吉林,城市映射成功,24
芜湖市,芜湖,安徽,城市映射成功,23
肇庆,肇庆,广东,城市映射成功,23
肇庆市,肇庆,广东,城市映射成功,22
佛山市,佛山,广东,城市映射成功,21
天津,天津,天津,城市映射成功,20
石家庄,石家庄,河北,城市映射成功,20
南昌,南昌,江西,城市映射成功,20
哈尔滨,哈尔滨,黑龙江,城市映射成功,20
青岛市,青岛,山东,城市映射成功,20
宁波,宁波,浙江,城市映射成功,19
太原,太原,山西,城市映射成功,19
南通,南通,江苏,城市映射成功,17
福州,福州,福建,城市映射成功,16
大连,大连,辽宁,城市映射成功,16
石家庄市,石家庄,河北,城市映射成功,15
桂林市,桂林,广西,城市映射成功,14
福州市,福州,福建,城市映射成功,14
温州市,温州,浙江,城市映射成功,14
厦门,厦门,福建,城市映射成功,13
金华市,金华,浙江,城市映射成功,12
南昌市,南昌,江西,城市映射成功,11
济宁,济宁,山东,城市映射成功,11
南宁市,南宁,广西,城市映射成功,11
,,英国,境外申请人,11
无锡市,无锡,江苏,城市映射成功,11
南通市,南通,江苏,城市映射成功,10
贵阳,贵阳,贵州,城市映射成功,10
金华,金华,浙江,城市映射成功,10
大连市,大连,辽宁,城市映射成功,10
温州,温州,浙江,城市映射成功,9
保定,保定,河北,城市映射成功,9
兰州,兰州,甘肃,城市映射成功,9
南宁,南宁,广西,城市映射成功,9
常州,常州,江苏,城市映射成功,8
嘉兴,嘉兴,浙江,城市映射成功,7
宜昌市,宜昌,湖北,城市映射成功,7
,,开曼群岛,境外申请人,7
泉州,泉州,福建,城市映射成功,7
绵阳市,绵阳,四川,城市映射成功,7
芜湖,芜湖,安徽,城市映射成功,7
沈阳市,沈阳,辽宁,城市映射成功,7
,,新加坡,境外申请人,7
东莞,东莞,广东,城市映射成功,7
湘潭,湘潭,湖南,城市映射成功,6
贵阳市,贵阳,贵州,城市映射成功,6
沈阳,沈阳,辽宁,城市映射成功,6
桂林,桂林,广西,城市映射成功,6
,,瑞士,境外申请人,6
,,法国,境外申请人,6
兰州市,兰州,甘肃,城市映射成功,6
佛山,佛山,广东,城市映射成功,5
,,芬兰,境外申请人,5
,,加拿大,境外申请人,5
东莞市,东莞,广东,城市映射成功,5
邵阳,邵阳,湖南,城市映射成功,5
珠海,珠海,广东,城市映射成功,5
湖州,湖州,浙江,城市映射成功,5
厦门市,厦门,福建,城市映射成功,5
嘉兴市,嘉兴,浙江,城市映射成功,5
扬州市,扬州,江苏,城市映射成功,4
呼和浩特,呼和浩特,内蒙古,城市映射成功,4
宁波市,宁波,浙江,城市映射成功,4
宜昌,宜昌,湖北,城市映射成功,4
常州市,常州,江苏,城市映射成功,4
珠海市,珠海,广东,城市映射成功,4
烟台,烟台,山东,城市映射成功,4
湘潭市,湘潭,湖南,城市映射成功,4
晋中,晋中,山西,城市映射成功,4
昆明,昆明,云南,城市映射成功,4
镇江,镇江,江苏,城市映射成功,4
保定市,保定,河北,城市映射成功,4
盐城,盐城,江苏,城市映射成功,4
宿迁市,宿迁,江苏,城市映射成功,3
绵阳,绵阳,四川,城市映射成功,3
台州,台州,浙江,城市映射成功,3
晋中市,晋中,山西,城市映射成功,3
东营,东营,山东,城市映射成功,3
咸阳,咸阳,陕西,城市映射成功,3
安庆,安庆,安徽,城市映射成功,3
乌鲁木齐市,乌鲁木齐,新疆,城市映射成功,3
,,澳大利亚,境外申请人,3
,,丹麦,境外申请人,3
洛阳,洛阳,河南,城市映射成功,3
昆明市,昆明,云南,城市映射成功,3
秦皇岛市,秦皇岛,河北,城市映射成功,3
江门市,江门,广东,城市映射成功,3
