文件,行数,主要用途
01_全国技术方向年度变化.csv,25,详见docs/indicator_dictionary.md
02_全国技术方向总体结构.csv,5,详见docs/indicator_dictionary.md
03_全国省级地区概览.csv,34,详见docs/indicator_dictionary.md
04_上海与重点省市总体比较.csv,6,详见docs/indicator_dictionary.md
05_上海与重点省市年度比较.csv,30,详见docs/indicator_dictionary.md
06_上海技术方向总体结构.csv,5,详见docs/indicator_dictionary.md
07_上海技术方向年度变化.csv,23,详见docs/indicator_dictionary.md
08_重点省市技术方向比较.csv,30,详见docs/indicator_dictionary.md
09_重点省市企业总体比较.csv,6,详见docs/indicator_dictionary.md
10_重点省市企业集中度比较.csv,6,详见docs/indicator_dictionary.md
11_重点省市企业年度变化.csv,30,详见docs/indicator_dictionary.md
12_上海企业排名.csv,20,详见docs/indicator_dictionary.md
13_上海企业技术方向.csv,5,详见docs/indicator_dictionary.md
14_重点省市企业技术方向比较.csv,30,详见docs/indicator_dictionary.md
15_上海高校院所排名.csv,20,详见docs/indicator_dictionary.md
16_上海高校院所技术方向.csv,10,详见docs/indicator_dictionary.md
17_重点省市高校院所总体比较.csv,6,详见docs/indicator_dictionary.md
18_重点省市高校院所技术方向比较.csv,30,详见docs/indicator_dictionary.md
19_上海企业与高校院所技术结构对照.csv,10,详见docs/indicator_dictionary.md
20_上海代表性企业候选.csv,3,详见docs/indicator_dictionary.md
21_其他省市代表性企业候选.csv,5,详见docs/indicator_dictionary.md
22_三表一致性检查.csv,5,详见docs/indicator_dictionary.md
