省级地区,专利数,创新主体数,企业专利数,企业数,高校院所专利数,高校院所数,全国专利占比,专利数全国排名,企业专利占比
北京,1568,256,832,155,703,83,0.22028659735880865,1,0.5306122448979592
安徽,1310,92,1029,67,279,23,0.1840404608035965,2,0.7854961832061069
江苏,747,175,362,130,379,40,0.10494520932846305,3,0.48460508701472554
广东,625,220,417,168,198,44,0.08780556336049453,4,0.6672
浙江,536,123,337,82,194,38,0.0753020511379601,5,0.628731343283582
上海,355,85,169,51,185,33,0.04987355998876089,6,0.476056338028169
山东,305,98,173,60,129,35,0.04284911491992133,7,0.5672131147540984
陕西,291,43,34,14,255,27,0.04088227030064625,8,0.11683848797250859
四川,260,76,92,49,167,26,0.03652711435796572,9,0.35384615384615387
湖北,244,57,47,32,197,25,0.03427929193593706,10,0.19262295081967212
湖南,182,40,29,25,153,15,0.025568980050576003,11,0.15934065934065933
河南,75,28,9,9,64,17,0.010536667603259343,12,0.12
重庆,68,15,6,6,62,9,0.009553245293621804,13,0.08823529411764706
山西,68,14,5,5,63,9,0.009553245293621804,13,0.07352941176470588
福建,61,35,33,24,27,10,0.008569822983984265,15,0.5409836065573771
黑龙江,61,9,4,4,57,5,0.008569822983984265,15,0.06557377049180328
吉林,58,18,9,7,49,11,0.00814835627985389,17,0.15517241379310345
河北,56,23,19,16,36,6,0.007867378477100308,18,0.3392857142857143
天津,56,20,20,14,36,6,0.007867378477100308,18,0.35714285714285715
辽宁,44,23,13,12,31,11,0.0061815116605788145,20,0.29545454545454547
广西,40,9,2,2,38,7,0.005619556055071649,21,0.05
江西,39,22,10,10,27,10,0.005479067153694858,22,0.2564102564102564
甘肃,18,6,4,3,14,3,0.002528800224782242,23,0.2222222222222222
贵州,16,10,6,3,9,6,0.00224782242202866,24,0.375
云南,8,8,5,5,3,3,0.00112391121101433,25,0.625
内蒙古,8,6,3,2,5,4,0.00112391121101433,25,0.375
新疆,6,5,5,4,1,1,0.0008429334082607474,27,0.8333333333333334
台湾,4,3,4,3,0,0,0.000561955605507165,28,1.0
海南,3,3,1,1,2,2,0.0004214667041303737,29,0.3333333333333333
宁夏,2,1,0,0,2,1,0.0002809778027535825,30,0.0
澳门,1,1,0,0,1,1,0.00014048890137679124,31,0.0
西藏,1,1,0,0,1,1,0.00014048890137679124,31,0.0
青海,1,1,0,0,1,1,0.00014048890137679124,31,0.0
香港,1,1,1,1,0,0,0.00014048890137679124,31,1.0
