year,技术方向,专利数,创新主体数,当年上海专利占比
2021,量子计算,5,3,0.07692307692307693
2022,量子计算,6,5,0.09375
2023,量子计算,13,7,0.203125
2024,量子计算,20,10,0.28169014084507044
2025,量子计算,20,15,0.21978021978021978
2021,量子通信与安全,25,8,0.38461538461538464
2022,量子通信与安全,21,6,0.328125
2023,量子通信与安全,27,10,0.421875
2024,量子通信与安全,27,9,0.38028169014084506
2025,量子通信与安全,29,13,0.31868131868131866
2021,量子传感,26,14,0.4
2022,量子传感,33,13,0.515625
2023,量子传感,24,15,0.375
2024,量子传感,13,11,0.18309859154929578
2025,量子传感,25,18,0.27472527472527475
2021,量子计算硬件,6,5,0.09230769230769231
2022,量子计算硬件,2,2,0.03125
2024,量子计算硬件,10,4,0.14084507042253522
2025,量子计算硬件,12,8,0.13186813186813187
2021,量子基础概念,3,3,0.046153846153846156
2022,量子基础概念,2,2,0.03125
2024,量子基础概念,1,1,0.014084507042253521
2025,量子基础概念,5,3,0.054945054945054944
