省级地区,year,活跃企业数,企业专利数,新进入企业数,新进入企业占比
上海,2021,12,27,12.0,1.0
上海,2022,8,25,5.0,0.625
上海,2023,16,34,12.0,0.75
上海,2024,17,42,11.0,0.6470588235294118
上海,2025,19,41,11.0,0.5789473684210527
北京,2021,18,74,18.0,1.0
北京,2022,24,102,21.0,0.875
北京,2023,39,201,23.0,0.5897435897435898
北京,2024,43,233,26.0,0.6046511627906976
北京,2025,89,222,67.0,0.7528089887640449
安徽,2021,5,46,5.0,1.0
安徽,2022,12,94,8.0,0.6666666666666666
安徽,2023,22,192,15.0,0.6818181818181818
安徽,2024,38,411,25.0,0.6578947368421053
安徽,2025,35,286,14.0,0.4
广东,2021,18,32,18.0,1.0
广东,2022,25,58,17.0,0.68
广东,2023,42,87,32.0,0.7619047619047619
广东,2024,55,114,42.0,0.7636363636363637
广东,2025,75,126,59.0,0.7866666666666666
江苏,2021,13,25,13.0,1.0
江苏,2022,22,64,18.0,0.8181818181818182
江苏,2023,37,79,32.0,0.8648648648648649
江苏,2024,42,99,33.0,0.7857142857142857
江苏,2025,46,95,36.0,0.782608695652174
浙江,2021,8,68,8.0,1.0
浙江,2022,17,63,12.0,0.7058823529411765
浙江,2023,15,78,8.0,0.5333333333333333
浙江,2024,35,61,21.0,0.6
浙江,2025,42,67,33.0,0.7857142857142857
