省级地区,技术方向,专利数,创新主体数,地区内专利占比
上海,量子计算,25,11,0.14792899408284024
北京,量子计算,335,51,0.4026442307692308
安徽,量子计算,527,23,0.5121477162293488
广东,量子计算,95,42,0.2278177458033573
江苏,量子计算,88,28,0.2430939226519337
浙江,量子计算,128,19,0.3798219584569733
上海,量子通信与安全,102,18,0.6035502958579881
北京,量子通信与安全,283,71,0.3401442307692308
安徽,量子通信与安全,321,32,0.3119533527696793
广东,量子通信与安全,173,51,0.4148681055155875
江苏,量子通信与安全,175,47,0.48342541436464087
浙江,量子通信与安全,157,36,0.4658753709198813
上海,量子传感,27,24,0.15976331360946747
北京,量子传感,87,41,0.1045673076923077
安徽,量子传感,102,29,0.09912536443148688
广东,量子传感,97,63,0.23261390887290168
江苏,量子传感,61,49,0.1685082872928177
浙江,量子传感,36,22,0.10682492581602374
上海,量子计算硬件,13,3,0.07692307692307693
北京,量子计算硬件,100,11,0.1201923076923077
安徽,量子计算硬件,66,10,0.0641399416909621
广东,量子计算硬件,26,11,0.06235011990407674
江苏,量子计算硬件,21,10,0.058011049723756904
浙江,量子计算硬件,5,4,0.01483679525222552
上海,量子基础概念,2,2,0.011834319526627219
北京,量子基础概念,27,21,0.03245192307692308
安徽,量子基础概念,13,11,0.012633624878522837
广东,量子基础概念,26,24,0.06235011990407674
江苏,量子基础概念,17,15,0.04696132596685083
浙江,量子基础概念,11,10,0.032640949554896145
