省级地区,技术方向,专利数,创新主体数,地区内专利占比
上海,量子计算,39,13,0.21081081081081082
北京,量子计算,133,34,0.1891891891891892
安徽,量子计算,79,12,0.2831541218637993
广东,量子计算,52,21,0.26262626262626265
江苏,量子计算,120,22,0.316622691292876
浙江,量子计算,45,11,0.23195876288659795
上海,量子通信与安全,27,12,0.14594594594594595
北京,量子通信与安全,216,28,0.30725462304409673
安徽,量子通信与安全,88,9,0.3154121863799283
广东,量子通信与安全,63,13,0.3181818181818182
江苏,量子通信与安全,129,15,0.3403693931398417
浙江,量子通信与安全,29,14,0.14948453608247422
上海,量子传感,93,21,0.5027027027027027
北京,量子传感,242,52,0.3442389758179232
安徽,量子传感,60,13,0.21505376344086022
广东,量子传感,43,21,0.21717171717171718
江苏,量子传感,71,19,0.18733509234828497
浙江,量子传感,64,16,0.32989690721649484
上海,量子计算硬件,17,7,0.0918918918918919
北京,量子计算硬件,61,13,0.08677098150782361
安徽,量子计算硬件,35,4,0.12544802867383512
广东,量子计算硬件,27,12,0.13636363636363635
江苏,量子计算硬件,25,7,0.06596306068601583
浙江,量子计算硬件,38,9,0.1958762886597938
上海,量子基础概念,9,5,0.04864864864864865
北京,量子基础概念,51,21,0.07254623044096728
安徽,量子基础概念,17,4,0.06093189964157706
广东,量子基础概念,13,11,0.06565656565656566
江苏,量子基础概念,34,9,0.08970976253298153
浙江,量子基础概念,18,10,0.09278350515463918
