第一申请人,第一申请人地区,第一申请人城市,year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,chain_positions,matched_terms,high_related_count,medium_related_count,low_related_count,timefreq_candidate_count,first_applicant_types
三峡大学,中国,宜昌市,2021,4,55,13.75,量子通信与安全,量子通信与安全,QKD；激光器；量子密钥；量子密钥分配；量子态；量子比特；量子纠缠；量子通信,4,0,0,0,学校
上海交通大学,中国,上海市,2021,13,86,6.615384615384615,量子传感；量子基础概念；量子计算；量子计算硬件；量子通信与安全,其他量子相关/待复核；量子计算硬件/量子芯片；量子计算系统；量子计量/时间频率/PNT候选；量子通信与安全,保真度；光学频率传递；光量子计算；光钟；原子钟；叠加态；时间频率传输；时间频率传递；量子密钥；量子密钥分发；量子态；量子比特；量子计算；量子门；频率标准,5,2,1,5,学校
上海众人网络安全技术有限公司,中国,上海市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；铯原子钟,0,0,0,1,企业
上海优扬新媒信息技术有限公司,中国,上海市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,企业
上海卫星工程研究所,中国,上海市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,企业
上海国盾量子信息技术有限公司,中国,上海市,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,1,0,0,企业
上海大学,中国,上海市,2021,1,4,4.0,量子基础概念,其他量子相关/待复核,量子态,0,0,1,0,学校
上海循态信息科技有限公司,中国,上海市,2021,8,74,9.25,量子通信与安全,量子通信与安全,激光器；量子保密通信；量子信息；量子密钥；量子密钥分发；量子态；量子相干；量子通信,5,3,0,0,企业
上海循态量子科技有限公司,中国,上海市,2021,1,6,6.0,量子通信与安全,量子通信与安全,激光器；量子密钥；量子密钥分发,0,1,0,0,企业
上海无线电设备研究所,中国,上海市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；铷原子钟,0,0,0,1,企业
上海朗研光电科技有限公司,中国,上海市,2021,1,14,14.0,量子通信与安全,量子通信与安全,单光子探测器；激光器；量子密钥；量子密钥分发；量子通信,1,0,0,0,"企业,学校"
上海理工大学,中国,上海市,2021,1,6,6.0,量子传感,量子传感器/精密测量,激光器；量子传感,0,1,0,0,学校
上海示方科技有限公司,中国,上海市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子频标,0,0,0,1,企业
上海航天测控通信研究所,中国,上海市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,企业
上海蔚来汽车有限公司,中国,上海市,2021,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0,企业
上海裕达实业有限公司,中国,上海市,2021,2,10,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,2,0,0,企业
东北林业大学,中国,哈尔滨市,2021,2,15,7.5,量子传感；量子计算,量子计算系统,量子信息；量子比特,1,1,0,0,学校
东北电力大学,中国,吉林市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,"企业,学校"
东华大学,中国,上海市,2021,2,10,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,2,0,0,"企业,学校；学校"
东华理工大学,中国,南昌市,2021,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0,学校
东南大学,中国,南京市,2021,1,5,5.0,量子传感,量子传感器/精密测量,量子测量,0,1,0,0,学校
东风汽车集团有限公司,中国,武汉市,2021,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0,企业
中兴通讯股份有限公司,中国,深圳市,2021,1,15,15.0,量子通信与安全,量子通信与安全,QKD；量子中继；量子密钥；量子密钥分发；量子通信,1,0,0,0,企业
中北大学,中国,太原市,2021,3,23,7.666666666666667,量子传感,量子传感器/精密测量；量子计量/时间频率/PNT候选,NV色心；原子钟；量子传感；量子传感器；金刚石NV色心,2,0,0,1,学校
中南大学,中国,长沙市,2021,12,84,7.0,量子传感；量子基础概念；量子通信与安全,其他量子相关/待复核；量子通信与安全,光调制器；激光器；量子信息；量子密钥；量子密钥分发；量子态；量子通信,4,7,1,0,学校
中国人民解放军61081部队,中国,北京市,2021,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,原子时标；原子钟；原子钟频率；氢原子钟；频率基准,0,0,0,2,机关团体
中国人民解放军军事科学院国防科技创新研究院,中国,北京市,2021,1,5,5.0,量子传感,量子传感器/精密测量,原子干涉,0,1,0,0,科研单位
中国人民解放军国防科技大学,中国,南京市,2021,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,2,学校
中国人民解放军国防科技大学,中国,长沙市,2021,5,33,6.6,量子传感；量子通信与安全,量子传感器/精密测量；量子通信与安全,QKD；光调制器；冷原子干涉；原子干涉；激光器；量子保密通信；量子密钥；量子密钥分发；量子密钥分配；量子通信,1,4,0,0,学校
中国人民解放军战略支援部队信息工程大学,中国,郑州市,2021,2,17,8.5,量子计算；量子通信与安全,量子软件/算法/模拟；量子通信与安全,量子密钥；量子密钥分发；量子比特；量子算法；量子线路,1,1,0,0,学校
中国人民解放军战略支援部队航天工程大学,中国,北京市,2021,3,11,3.6666666666666665,量子传感；量子基础概念,其他量子相关/待复核；量子计量/时间频率/PNT候选,原子钟；叠加态,0,0,2,1,学校
中国人民解放军海军工程大学,中国,武汉市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,"企业,学校"
中国人民解放军陆军工程大学,中国,南京市,2021,2,20,10.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发；量子通信,2,0,0,0,学校
中国信息通信研究院,中国,北京市,2021,1,5,5.0,量子通信与安全,量子通信与安全,QKD；量子密钥；量子密钥分发,0,1,0,0,科研单位
中国医学科学院病原生物学研究所,中国,北京市,2021,3,15,5.0,量子计算；量子计算硬件,量子计算硬件/量子芯片；量子计算系统,qubit；离子阱,0,3,0,0,科研单位
中国林业科学研究院林业研究所,中国,北京市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,科研单位
中国海洋大学,中国,青岛市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1,学校
中国电子科技集团公司电子科学研究院,中国,北京市,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,1,0,0,企业
中国电子科技集团公司第三十九研究所,中国,西安市,2021,1,5,5.0,量子传感,量子传感器/精密测量,量子精密测量,0,1,0,0,企业
中国电子科技集团公司第三十研究所,中国,成都市,2021,9,54,6.0,量子基础概念；量子计算；量子通信与安全,其他量子相关/待复核；量子计算系统；量子通信与安全,QKD；量子保密通信；量子密钥；量子密钥分发；量子态；量子计算；量子计算机,2,6,1,0,企业
中国电子科技集团公司第二十七研究所,中国,郑州市,2021,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0,企业
中国电子科技集团公司第四十四研究所,中国,重庆市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,光纤频率传递；时间频率传输,0,0,0,1,企业
中国电波传播研究所(中国电子科技集团公司第二十二研究所),中国,青岛市,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1,企业
中国石油化工股份有限公司,中国,北京市,2021,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0,企业
中国科学技术大学,中国,合肥市,2021,16,118,7.375,量子传感；量子基础概念；量子计算；量子计算硬件；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子通信与安全,NV色心；单光子探测器；叠加态；激光器；磁光阱；离子阱；超导量子比特；量子密钥；量子密钥分发；量子密钥分配；量子态；量子比特；量子芯片；量子计算；量子门；金刚石NV色心,6,9,1,0,学校
中国科学院上海光学精密机械研究所,中国,上海市,2021,4,12,3.0,量子传感,量子计量/时间频率/PNT候选,光频传递；原子钟；原子钟频率；铷原子钟；频率标准,0,0,0,4,科研单位
中国科学院光电技术研究所,中国,成都市,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子通信,0,1,0,0,科研单位
中国科学院化学研究所,中国,北京市,2021,1,5,5.0,量子传感,其他量子相关/待复核,量子信息,0,1,0,0,科研单位
中国科学院半导体研究所,中国,北京市,2021,4,18,4.5,量子基础概念；量子通信与安全,其他量子相关/待复核；量子通信与安全,量子密钥；量子密钥分发；量子态,0,2,2,0,科研单位
中国科学院国家天文台,中国,北京市,2021,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；原子钟时间同步,0,0,0,2,机关团体
中国科学院国家授时中心,中国,西安市,2021,8,29,3.625,量子传感,量子传感器/精密测量；量子计量/时间频率/PNT候选,光纤频率传递；单光子探测器；原子钟；氢原子钟；量子测量；铯原子钟；铷原子钟；频率基准；频率标准,0,1,0,7,"其他；其他,学校"
中国科学院地质与地球物理研究所,中国,北京市,2021,3,13,4.333333333333333,量子传感；量子计算硬件,量子传感器/精密测量；量子计算硬件/量子芯片；量子计量/时间频率/PNT候选,NV色心；原子钟；离子阱,0,2,0,1,"科研单位；科研单位,学校"
