第一申请人类型,主体大类,主体类型分类依据,主体类型需复核,记录数
企业,企业,原始申请人类型,False,3937
学校,高校,原始申请人类型,False,2110
科研单位,科研院所,原始申请人类型,False,657
其他,其他,原始申请人类型,False,98
"企业,企业",企业,名称辅助识别,True,94
机关团体,机关团体,原始申请人类型,False,65
"科研单位,学校",科研院所,名称辅助识别,True,64
"企业,学校",企业,名称辅助识别,True,57
企业,混合/待核验,原字段为企业但名称疑似科研机构,True,56
"企业,学校",高校,名称辅助识别,True,52
"科研单位,学校",高校,名称辅助识别,True,31
个人,个人,原始申请人类型,False,29
"学校,科研单位",高校,名称辅助识别,True,22
"企业,企业,企业",企业,名称辅助识别,True,20
"企业,科研单位",企业,名称辅助识别,True,20
"学校,企业",高校,名称辅助识别,True,13
"科研单位,科研单位",科研院所,名称辅助识别,True,10
"学校,学校",高校,名称辅助识别,True,7
"企业,科研单位",混合/待核验,无法可靠识别,True,7
"企业,科研单位",科研院所,名称辅助识别,True,6
"科研单位,学校",混合/待核验,无法可靠识别,True,4
"其他,学校",科研院所,名称辅助识别,True,3
"科研单位,机关团体",科研院所,名称辅助识别,True,3
"学校,企业,企业",高校,名称辅助识别,True,3
"学校,学校,科研单位",高校,名称辅助识别,True,2
"企业,企业,企业,企业",企业,名称辅助识别,True,2
"企业,科研单位,学校",企业,名称辅助识别,True,2
"科研单位,学校,企业",科研院所,名称辅助识别,True,1
"机关团体,学校",混合/待核验,无法可靠识别,True,1
"个人,学校",高校,名称辅助识别,True,1
"企业,个人",企业,名称辅助识别,True,1
"科研单位,学校,科研单位",混合/待核验,无法可靠识别,True,1
"科研单位,企业,企业",混合/待核验,无法可靠识别,True,1
"科研单位,机关团体",混合/待核验,无法可靠识别,True,1
"企业,企业",混合/待核验,无法可靠识别,True,1
"科研单位,科研单位",混合/待核验,无法可靠识别,True,1
"机关团体,学校",高校,名称辅助识别,True,1
"企业,学校",科研院所,名称辅助识别,True,1
"学校,学校,学校",高校,名称辅助识别,True,1
"企业,企业,企业,企业,企业",企业,名称辅助识别,True,1
"企业,学校,企业",企业,名称辅助识别,True,1
"企业,企业,企业,企业,企业,企业",企业,名称辅助识别,True,1
"企业,企业,机关团体",企业,名称辅助识别,True,1
"其他,机关团体",混合/待核验,无法可靠识别,True,1
"其他,学校",高校,名称辅助识别,True,1
"企业,企业,机关团体,机关团体,机关团体",企业,名称辅助识别,True,1
"个人,个人,个人",混合/待核验,无法可靠识别,True,1
"企业,其他",企业,名称辅助识别,True,1
"企业,机关团体",高校,名称辅助识别,True,1
"企业,机关团体",混合/待核验,无法可靠识别,True,1
"企业,科研单位,学校",科研院所,名称辅助识别,True,1
