省级地区,量子相关专利数,创新主体数,明确企业数,企业专利数,企业专利占比,严格核心专利数,严格核心专利占比,核心口径专利数,PNT候选专利数,高相关专利占比,量子识别得分均值,被引字段覆盖率
北京市,1568,256,160,884,0.5637755102040817,1299,0.8284438775510204,1393,175,0.4649234693877551,8.591198979591837,0.013392857142857142
安徽省,1310,92,69,1033,0.7885496183206107,1244,0.9496183206106871,1293,17,0.5519083969465649,9.003053435114504,0.00916030534351145
江苏省,747,175,130,362,0.48460508701472554,638,0.8540829986613119,700,47,0.42704149933065594,7.93574297188755,0.013386880856760375
广东省,625,220,167,416,0.6656,514,0.8224,565,60,0.384,7.7568,0.0272
浙江省,536,123,83,339,0.6324626865671642,459,0.8563432835820896,488,48,0.3451492537313433,7.199626865671642,0.013059701492537313
上海市,355,85,53,180,0.5070422535211268,260,0.7323943661971831,275,80,0.28732394366197184,6.7126760563380286,0.03380281690140845
山东省,305,98,64,177,0.580327868852459,249,0.8163934426229508,281,24,0.45901639344262296,8.193442622950819,0.029508196721311476
陕西省,291,43,16,39,0.13402061855670103,152,0.5223367697594502,165,126,0.21649484536082475,5.841924398625429,0.020618556701030927
待映射,280,95,77,245,0.875,259,0.925,271,9,0.33214285714285713,7.235714285714286,0.07142857142857142
四川省,260,76,53,137,0.5269230769230769,191,0.7346153846153847,220,40,0.3038461538461538,6.803846153846154,0.026923076923076925
湖北省,244,57,38,85,0.3483606557377049,183,0.75,193,51,0.21311475409836064,6.430327868852459,0.004098360655737705
湖南省,182,40,25,29,0.15934065934065933,137,0.7527472527472527,150,32,0.37362637362637363,6.906593406593407,0.016483516483516484
河南省,75,28,10,10,0.13333333333333333,57,0.76,66,9,0.4666666666666667,8.36,0.013333333333333334
重庆市,68,15,7,9,0.1323529411764706,50,0.7352941176470589,61,7,0.47058823529411764,8.882352941176471,0.014705882352941176
山西省,68,14,7,7,0.10294117647058823,52,0.7647058823529411,60,8,0.3088235294117647,7.014705882352941,0.029411764705882353
福建省,61,35,23,32,0.5245901639344263,49,0.8032786885245902,59,2,0.3442622950819672,7.016393442622951,0.0
黑龙江省,61,9,4,4,0.06557377049180328,49,0.8032786885245902,59,2,0.22950819672131148,6.229508196721311,0.03278688524590164
吉林省,58,18,7,9,0.15517241379310345,47,0.8103448275862069,55,3,0.29310344827586204,7.103448275862069,0.06896551724137931
河北省,56,23,18,44,0.7857142857142857,30,0.5357142857142857,32,24,0.19642857142857142,5.410714285714286,0.03571428571428571
天津市,56,20,16,41,0.7321428571428571,37,0.6607142857142857,45,11,0.16071428571428573,5.571428571428571,0.0
辽宁省,44,23,12,13,0.29545454545454547,30,0.6818181818181818,37,7,0.13636363636363635,5.704545454545454,0.022727272727272728
广西壮族自治区,40,9,3,4,0.1,33,0.825,38,2,0.525,9.1,0.025
江西省,39,22,10,10,0.2564102564102564,29,0.7435897435897436,37,2,0.358974358974359,7.846153846153846,0.0
甘肃省,18,6,3,4,0.2222222222222222,7,0.3888888888888889,8,10,0.16666666666666666,5.444444444444445,0.0
贵州省,16,10,3,6,0.375,11,0.6875,14,2,0.375,6.9375,0.0
云南省,8,8,5,5,0.625,6,0.75,6,2,0.25,6.375,0.0
内蒙古自治区,8,6,2,3,0.375,5,0.625,5,3,0.125,5.375,0.0
新疆维吾尔自治区,6,5,4,5,0.8333333333333334,6,1.0,6,0,0.8333333333333334,11.166666666666666,0.0
台湾省,4,3,3,4,1.0,3,0.75,4,0,0.0,4.5,0.0
海南省,3,3,1,1,0.3333333333333333,2,0.6666666666666666,2,1,0.0,4.333333333333333,0.0
宁夏回族自治区,2,1,0,0,0.0,2,1.0,2,0,0.0,5.0,0.0
澳门特别行政区,1,1,0,0,0.0,1,1.0,1,0,1.0,10.0,0.0
西藏自治区,1,1,0,0,0.0,1,1.0,1,0,0.0,5.0,0.0
青海省,1,1,1,1,1.0,0,0.0,0,1,0.0,3.0,0.0
香港特别行政区,1,1,1,1,1.0,1,1.0,1,0,1.0,9.0,0.0
