省级地区,year,量子相关专利数,创新主体数,明确企业数,企业专利数,严格核心专利数,PNT候选专利数
上海市,2021,65,24,13,29,44,18
上海市,2022,64,23,9,27,42,19
上海市,2023,64,29,16,34,41,20
上海市,2024,71,30,19,48,60,10
上海市,2025,91,40,20,42,73,13
云南省,2022,2,2,0,0,2,0
云南省,2023,1,1,1,1,0,1
云南省,2024,2,2,1,1,1,1
云南省,2025,3,3,3,3,3,0
内蒙古自治区,2021,1,1,1,1,1,0
内蒙古自治区,2022,1,1,1,1,1,0
内蒙古自治区,2024,1,1,1,1,0,1
内蒙古自治区,2025,5,4,0,0,3,2
北京市,2021,187,52,19,75,149,30
北京市,2022,226,62,27,108,178,36
北京市,2023,342,88,41,221,282,36
北京市,2024,430,93,47,249,367,43
北京市,2025,383,137,91,231,323,30
台湾省,2021,1,1,1,1,1,0
台湾省,2022,1,1,1,1,1,0
台湾省,2025,2,2,2,2,1,0
吉林省,2021,10,5,0,0,8,1
吉林省,2022,9,4,0,0,9,0
吉林省,2023,14,7,2,3,12,1
吉林省,2024,9,5,2,2,6,0
吉林省,2025,16,11,4,4,12,1
四川省,2021,35,12,5,13,28,4
四川省,2022,45,17,8,28,34,7
四川省,2023,60,27,17,29,39,13
四川省,2024,50,22,13,28,42,6
四川省,2025,70,40,30,39,48,10
天津市,2021,6,5,4,4,4,0
天津市,2022,19,4,2,16,11,7
天津市,2023,10,7,5,7,8,1
天津市,2024,10,7,6,7,8,1
天津市,2025,11,9,7,7,6,2
宁夏回族自治区,2024,2,1,0,0,2,0
安徽省,2021,66,9,5,46,62,3
安徽省,2022,125,19,12,94,118,0
安徽省,2023,232,31,23,194,219,3
安徽省,2024,511,51,40,413,488,8
安徽省,2025,376,46,35,286,357,3
山东省,2021,20,12,8,15,14,5
山东省,2022,39,19,11,23,34,4
山东省,2023,51,25,12,27,41,5
山东省,2024,100,35,21,57,83,6
山东省,2025,95,45,29,55,77,4
山西省,2021,10,3,0,0,8,1
山西省,2022,15,4,0,0,10,1
山西省,2023,16,8,3,3,12,3
