省级地区,类别,专利数,地区内占比
上海市,量子传感,121,0.3408450704225352
上海市,量子基础概念,11,0.030985915492957747
上海市,量子计算,64,0.18028169014084508
上海市,量子计算硬件,30,0.08450704225352113
上海市,量子通信与安全,129,0.36338028169014086
北京市,量子传感,345,0.22002551020408162
北京市,量子基础概念,80,0.05102040816326531
北京市,量子计算,472,0.3010204081632653
北京市,量子计算硬件,163,0.10395408163265306
北京市,量子通信与安全,508,0.3239795918367347
安徽省,量子传感,164,0.1251908396946565
安徽省,量子基础概念,30,0.022900763358778626
安徽省,量子计算,606,0.46259541984732827
安徽省,量子计算硬件,101,0.07709923664122137
安徽省,量子通信与安全,409,0.31221374045801525
江苏省,量子传感,133,0.17804551539491298
江苏省,量子基础概念,51,0.06827309236947791
江苏省,量子计算,211,0.2824631860776439
江苏省,量子计算硬件,46,0.06157965194109773
江苏省,量子通信与安全,306,0.40963855421686746
浙江省,量子传感,100,0.1865671641791045
浙江省,量子基础概念,29,0.054104477611940295
浙江省,量子计算,175,0.32649253731343286
浙江省,量子计算硬件,43,0.08022388059701492
浙江省,量子通信与安全,189,0.35261194029850745
广东省,量子传感,140,0.224
广东省,量子基础概念,41,0.0656
广东省,量子计算,149,0.2384
广东省,量子计算硬件,57,0.0912
广东省,量子通信与安全,238,0.3808
