第一申请人,主体大类,第一申请人城市,专利数,活跃年份数,最早年份,最晚年份,高相关专利数,中相关专利数,严格核心专利数,PNT候选专利数,量子识别得分均值,主要技术方向,技术方向覆盖,产业链环节覆盖,被引字段覆盖率,被引次数合计
国科量子通信网络有限公司,企业,上海市,29,3,2021,2023,14,15,29,0,9.241379310344827,量子通信与安全,量子通信与安全,量子通信与安全,0.034482758620689655,1.0
国科量子通信网络有限公司,企业,上海,18,2,2024,2025,11,7,18,0,8.777777777777779,量子通信与安全,量子通信与安全,量子通信与安全,0.05555555555555555,1.0
上海循态量子科技有限公司,企业,上海市,10,2,2021,2022,3,7,10,0,6.5,量子通信与安全,量子通信与安全,量子通信与安全,0.0,0.0
上海循态量子科技有限公司,企业,上海,9,2,2024,2025,0,8,8,0,5.0,量子通信与安全,量子通信与安全；量子基础概念,量子通信与安全；其他量子相关/待复核,0.0,0.0
上海循态信息科技有限公司,企业,上海市,8,1,2021,2021,5,3,8,0,9.25,量子通信与安全,量子通信与安全,量子通信与安全,0.25,7.0
上海国盾量子信息技术有限公司,企业,上海市,7,3,2021,2024,2,5,7,0,7.142857142857143,量子通信与安全,量子通信与安全,量子通信与安全,0.0,0.0
华东计算技术研究所(中国电子科技集团公司第三十二研究所),企业,上海,6,2,2024,2025,5,1,6,0,11.333333333333334,量子计算硬件,量子计算硬件；量子计算,量子计算硬件/量子芯片；量子软件/算法/模拟；量子计算系统,0.0,0.0
上海图灵智算量子科技有限公司,企业,上海,6,2,2024,2025,5,1,6,0,11.0,量子计算,量子计算；量子计算硬件,量子计算系统；量子计算硬件/量子芯片,0.0,0.0
上海国盾量子信息技术有限公司,企业,上海,6,1,2024,2024,1,5,6,0,6.833333333333333,量子通信与安全,量子通信与安全,量子通信与安全,0.0,0.0
上海裕达实业有限公司,企业,上海,6,2,2024,2025,0,6,6,0,5.0,量子计算硬件,量子计算硬件,量子计算硬件/量子芯片,0.0,0.0
上海量羲技术有限公司,企业,上海,5,2,2024,2025,4,1,5,0,9.2,量子计算硬件,量子计算；量子计算硬件,量子计算系统；量子计算硬件/量子芯片,0.0,0.0
华东计算技术研究所(中国电子科技集团公司第三十二研究所),企业,上海市,4,2,2021,2022,2,2,4,0,11.0,量子计算硬件,量子计算硬件；量子计算；量子通信与安全,量子计算硬件/量子芯片；量子计算系统；量子通信与安全,0.0,0.0
上海联影医疗科技股份有限公司,企业,上海市,4,2,2022,2023,0,4,4,0,5.0,量子传感,量子传感,量子传感器/精密测量,0.0,0.0
上海图灵智算量子科技有限公司,企业,上海市,3,2,2022,2023,3,0,3,0,13.666666666666666,量子计算,量子计算,量子计算系统,0.3333333333333333,1.0
中国银联股份有限公司,企业,上海,3,1,2025,2025,3,0,3,0,11.333333333333334,量子计算,量子计算；量子通信与安全,量子计算系统；量子通信与安全,0.0,0.0
建信金融科技有限责任公司,企业,上海,3,2,2024,2025,1,2,3,0,7.333333333333333,量子计算,量子计算,量子计算系统,0.0,0.0
上海裕达实业有限公司,企业,上海市,3,2,2021,2022,0,3,3,0,5.0,量子计算硬件,量子计算硬件,量子计算硬件/量子芯片,0.0,0.0
建信金融科技有限责任公司,企业,上海市,3,1,2023,2023,0,1,1,0,4.333333333333333,量子计算,量子计算；量子通信与安全,量子软件/算法/模拟；量子通信与安全,0.0,0.0
上海交大知识产权管理有限公司,企业,上海市,2,1,2023,2023,2,0,2,0,9.0,量子计算,量子计算,量子计算系统,0.0,0.0
上海国科航星量子科技有限公司,企业,上海市,2,1,2022,2022,0,2,2,0,5.0,量子通信与安全,量子通信与安全,量子通信与安全,0.0,0.0
日晷科技(上海)有限公司,企业,上海,2,1,2024,2024,0,2,2,0,5.0,量子通信与安全,量子通信与安全,量子通信与安全,0.0,0.0
国网上海市电力公司,企业,上海,2,2,2024,2025,0,1,1,1,4.0,量子通信与安全,量子通信与安全；量子传感,量子通信与安全；量子计量/时间频率/PNT候选,0.0,0.0
上海微观纪元数字科技有限公司,企业,上海市,1,1,2023,2023,1,0,1,0,19.0,量子通信与安全,量子通信与安全,量子通信与安全,0.0,0.0
