省级地区,第一申请人,首次年份,活跃年份数
上海市,上海中绿新能源科技有限公司,2024,1
上海市,上海交大知识产权管理有限公司,2023,1
上海市,上海亦波亦粒科技有限公司,2025,1
上海市,上海众人网络安全技术有限公司,2021,1
上海市,上海优扬新媒信息技术有限公司,2021,1
上海市,上海先积集成电路有限公司,2023,1
上海市,上海光链电子科技有限公司,2024,1
上海市,上海助通信息科技有限公司,2025,1
上海市,上海同态信息科技有限责任公司,2025,1
上海市,上海国盾量子信息技术有限公司,2021,3
上海市,上海国科航星量子科技有限公司,2022,1
上海市,上海图灵智算量子科技有限公司,2022,4
上海市,上海大帜信息技术有限公司,2024,1
上海市,上海安密信科技有限公司,2023,1
上海市,上海循态信息科技有限公司,2021,1
上海市,上海循态量子科技有限公司,2021,4
上海市,上海循源生物科技有限公司,2025,1
上海市,上海微观纪元数字科技有限公司,2023,2
上海市,上海思量量子科技有限公司,2022,1
上海市,上海惟堪建筑工程技术有限公司,2024,1
上海市,上海方位角数据科技有限公司,2023,1
上海市,上海旺脉信息科技集团有限公司,2025,1
上海市,上海晶维材料科技有限公司,2025,1
上海市,上海朗研光电科技有限公司,2021,1
上海市,上海朝夕网络技术有限公司,2024,1
上海市,上海梦象智能科技有限公司,2024,1
上海市,上海瑞柯恩激光技术有限公司,2023,1
上海市,上海矢元电子股份有限公司,2023,1
上海市,上海示方科技有限公司,2021,1
上海市,上海聆芯科技有限公司,2023,1
上海市,上海联影医疗科技股份有限公司,2022,2
上海市,上海芯联芯智能科技有限公司,2022,1
上海市,上海蔚来汽车有限公司,2021,1
上海市,上海裕达实业有限公司,2021,4
上海市,上海西虹桥导航技术有限公司,2025,1
上海市,上海证锘信息科技有限公司,2023,1
上海市,上海酷潮科技股份有限公司,2025,1
上海市,上海量羲技术有限公司,2024,2
上海市,中国船舶重工集团公司第七0四研究所,2024,1
上海市,中国银联股份有限公司,2025,1
上海市,中广核数字科技有限公司,2025,1
上海市,典基网络科技(上海)有限公司,2023,1
上海市,华东计算技术研究所(中国电子科技集团公司第三十二研究所),2021,4
上海市,咪咕视讯科技有限公司,2023,1
上海市,国科量子通信网络有限公司,2021,5
上海市,国网上海市电力公司,2024,2
上海市,国网上海能源互联网研究院有限公司,2024,1
上海市,建信金融科技有限责任公司,2023,3
上海市,日晷科技(上海)有限公司,2024,1
上海市,智车优行科技(上海)有限公司,2021,1
上海市,爱晋仕(上海)信息科技有限公司,2025,1
上海市,田禾信息科技(上海)有限公司,2024,1
上海市,银联商务股份有限公司,2021,1
云南省,三峡新能源云南师宗发电有限公司,2025,1
云南省,三峡金沙江云川水电开发有限公司,2025,1
云南省,中国船舶重工集团公司七五0试验场,2023,1
云南省,中铁建云南投资有限公司,2024,1
云南省,云南电网有限责任公司,2025,1
内蒙古自治区,国网内蒙古东部电力有限公司信息通信分公司,2021,2
内蒙古自治区,国网内蒙古东部电力有限公司检修分公司,2024,1
北京市,三未信安科技股份有限公司,2025,1
北京市,世融能量科技有限公司,2025,1
北京市,中信建投证券股份有限公司,2025,1
北京市,中信银行股份有限公司,2025,1
北京市,中国人民银行清算总中心,2023,1
北京市,中国工商银行股份有限公司,2023,2
北京市,中国建筑第二工程局有限公司,2025,1
北京市,中国建设银行股份有限公司,2022,1
北京市,中国电信股份有限公司,2022,4
北京市,中国电信股份有限公司技术创新中心,2025,1
北京市,中国电力科学研究院有限公司,2022,4
北京市,中国电子信息产业集团有限公司第六研究所,2024,1
北京市,中国电子科技集团公司信息科学研究院,2022,1
北京市,中国电子科技集团公司电子科学研究院,2021,4
北京市,中国电子科技集团公司第十二研究所,2022,2
北京市,中国电子科技集团公司第十五研究所,2024,1
北京市,中国电子科技集团有限公司电子科学研究院,2025,1
北京市,中国石油化工股份有限公司,2021,2
北京市,中国石油天然气股份有限公司,2023,3
北京市,中国石油天然气集团有限公司,2025,1
北京市,中国移动通信有限公司研究院,2021,4
北京市,中国联合网络通信集团有限公司,2021,5
北京市,中国航空工业集团公司北京长城计量测试技术研究所,2022,4
北京市,中国银行股份有限公司,2023,2
北京市,中国长江三峡集团有限公司,2022,1
北京市,中国长江电力股份有限公司,2025,1
北京市,中安网脉(北京)技术股份有限公司,2024,1
北京市,中电信数智科技有限公司,2025,1
北京市,中科云钞(北京)量子科技有限公司,2025,1
北京市,中诚华隆计算机技术有限公司,2023,1
北京市,中金金融认证中心有限公司,2025,1
北京市,京东科技信息技术有限公司,2023,2
北京市,全球能源互联网研究院有限公司,2021,2
北京市,北京三快在线科技有限公司,2023,1
