省级地区,year,活跃企业数,新进入企业数,新进入企业占比
上海市,2021,13,13.0,1.0
上海市,2022,9,5.0,0.5555555555555556
上海市,2023,16,12.0,0.75
上海市,2024,19,12.0,0.631578947368421
上海市,2025,20,11.0,0.55
云南省,2023,1,1.0,1.0
云南省,2024,1,1.0,1.0
云南省,2025,3,3.0,1.0
内蒙古自治区,2021,1,1.0,1.0
内蒙古自治区,2022,1,0.0,0.0
内蒙古自治区,2024,1,1.0,1.0
北京市,2021,19,19.0,1.0
北京市,2022,27,24.0,0.8888888888888888
北京市,2023,41,23.0,0.5609756097560976
北京市,2024,47,27.0,0.574468085106383
北京市,2025,91,67.0,0.7362637362637363
台湾省,2021,1,1.0,1.0
台湾省,2022,1,1.0,1.0
台湾省,2025,2,1.0,0.5
吉林省,2023,2,2.0,1.0
吉林省,2024,2,1.0,0.5
吉林省,2025,4,4.0,1.0
四川省,2021,5,5.0,1.0
四川省,2022,8,5.0,0.625
四川省,2023,17,12.0,0.7058823529411765
四川省,2024,13,9.0,0.6923076923076923
四川省,2025,30,22.0,0.7333333333333333
天津市,2021,4,4.0,1.0
天津市,2022,2,1.0,0.5
天津市,2023,5,2.0,0.4
天津市,2024,6,3.0,0.5
天津市,2025,7,6.0,0.8571428571428571
安徽省,2021,5,5.0,1.0
安徽省,2022,12,8.0,0.6666666666666666
安徽省,2023,23,16.0,0.6956521739130435
安徽省,2024,40,26.0,0.65
安徽省,2025,35,14.0,0.4
山东省,2021,8,8.0,1.0
山东省,2022,11,9.0,0.8181818181818182
山东省,2023,12,9.0,0.75
山东省,2024,21,17.0,0.8095238095238095
山东省,2025,29,21.0,0.7241379310344828
山西省,2023,3,3.0,1.0
山西省,2024,2,2.0,1.0
山西省,2025,2,2.0,1.0
广东省,2021,18,18.0,1.0
广东省,2022,25,17.0,0.68
广东省,2023,42,32.0,0.7619047619047619
广东省,2024,54,41.0,0.7592592592592593
广东省,2025,75,59.0,0.7866666666666666
广西壮族自治区,2023,1,1.0,1.0
广西壮族自治区,2024,1,0.0,0.0
广西壮族自治区,2025,2,2.0,1.0
待映射,2024,49,49.0,1.0
待映射,2025,42,28.0,0.6666666666666666
新疆维吾尔自治区,2021,1,1.0,1.0
新疆维吾尔自治区,2023,1,1.0,1.0
新疆维吾尔自治区,2025,2,2.0,1.0
江苏省,2021,13,13.0,1.0
江苏省,2022,22,18.0,0.8181818181818182
江苏省,2023,36,31.0,0.8611111111111112
江苏省,2024,43,34.0,0.7906976744186046
江苏省,2025,46,34.0,0.7391304347826086
江西省,2021,1,1.0,1.0
江西省,2023,2,2.0,1.0
江西省,2024,1,1.0,1.0
江西省,2025,6,6.0,1.0
河北省,2021,2,2.0,1.0
河北省,2022,3,3.0,1.0
河北省,2023,3,2.0,0.6666666666666666
河北省,2024,5,2.0,0.4
河北省,2025,10,9.0,0.9
河南省,2021,1,1.0,1.0
河南省,2022,3,3.0,1.0
河南省,2023,1,1.0,1.0
河南省,2024,1,1.0,1.0
河南省,2025,4,4.0,1.0
浙江省,2021,8,8.0,1.0
浙江省,2022,17,12.0,0.7058823529411765
浙江省,2023,16,9.0,0.5625
浙江省,2024,35,21.0,0.6
浙江省,2025,42,33.0,0.7857142857142857
海南省,2024,1,1.0,1.0
湖北省,2021,6,6.0,1.0
湖北省,2022,6,5.0,0.8333333333333334
湖北省,2023,7,4.0,0.5714285714285714
湖北省,2024,13,10.0,0.7692307692307693
湖北省,2025,18,13.0,0.7222222222222222
湖南省,2021,1,1.0,1.0
湖南省,2022,1,1.0,1.0
湖南省,2023,5,5.0,1.0
湖南省,2024,8,6.0,0.75
湖南省,2025,12,12.0,1.0
甘肃省,2022,1,1.0,1.0
甘肃省,2024,2,2.0,1.0
福建省,2021,5,5.0,1.0
福建省,2022,1,0.0,0.0
福建省,2023,5,4.0,0.8
福建省,2024,4,3.0,0.75
福建省,2025,12,11.0,0.9166666666666666
贵州省,2023,1,1.0,1.0
贵州省,2024,1,1.0,1.0
贵州省,2025,2,1.0,0.5
辽宁省,2023,1,1.0,1.0
辽宁省,2024,8,8.0,1.0
辽宁省,2025,3,3.0,1.0
重庆市,2021,2,2.0,1.0
重庆市,2024,1,0.0,0.0
重庆市,2025,6,5.0,0.8333333333333334
陕西省,2021,4,4.0,1.0
陕西省,2022,4,3.0,0.75
陕西省,2023,2,1.0,0.5
陕西省,2024,4,2.0,0.5
陕西省,2025,9,6.0,0.6666666666666666
青海省,2024,1,1.0,1.0
香港特别行政区,2023,1,1.0,1.0
黑龙江省,2021,2,2.0,1.0
黑龙江省,2023,1,1.0,1.0
黑龙江省,2025,1,1.0,1.0
