年份,企业,专利数
2021,国科量子通信网络有限公司,8
2021,上海循态量子科技有限公司,1
2021,上海国盾量子信息技术有限公司,1
2021,华东计算技术研究所(中国电子科技集团公司第三十二研究所),2
2021,上海裕达实业有限公司,2
2021,上海循态信息科技有限公司,8
2022,国科量子通信网络有限公司,7
2022,上海循态量子科技有限公司,9
2022,华东计算技术研究所(中国电子科技集团公司第三十二研究所),2
2022,上海图灵智算量子科技有限公司,1
2022,上海裕达实业有限公司,1
2023,国科量子通信网络有限公司,14
2023,上海国盾量子信息技术有限公司,2
2023,上海图灵智算量子科技有限公司,2
2023,建信金融科技有限责任公司,3
2024,国科量子通信网络有限公司,5
2024,上海循态量子科技有限公司,6
2024,上海国盾量子信息技术有限公司,10
2024,华东计算技术研究所(中国电子科技集团公司第三十二研究所),5
2024,上海图灵智算量子科技有限公司,2
2024,上海裕达实业有限公司,5
2024,建信金融科技有限责任公司,2
2025,国科量子通信网络有限公司,13
2025,上海循态量子科技有限公司,3
2025,华东计算技术研究所(中国电子科技集团公司第三十二研究所),1
2025,上海图灵智算量子科技有限公司,4
2025,上海裕达实业有限公司,1
2025,建信金融科技有限责任公司,1
