recent_period,baseline_periods,keyword,tfidf_score,document_count,document_share,baseline_tfidf_score,baseline_document_count,baseline_document_share,document_share_delta,growth_rate
2026-05_06,"2026-01_02, 2026-03_04",infrastructure,0.0,0.0,0.0,0.8431925,18.0,0.857143,-0.857143,-0.9999988333348889
2026-05_06,"2026-01_02, 2026-03_04",industrial decarbonization,0.0,0.0,0.0,0.38974200000000003,12.0,0.571429,-0.571429,-0.999998250004375
2026-05_06,"2026-01_02, 2026-03_04",hydrogen fuel cell,0.0,0.0,0.0,0.2949965,5.0,0.238095,-0.238095,-0.9999958000134399
2026-05_06,"2026-01_02, 2026-03_04",steel mills,0.0,0.0,0.0,0.087035,3.0,0.142857,-0.142857,-0.9999930000419998
2026-05_06,"2026-01_02, 2026-03_04",transport,0.236037,4.0,0.266667,0.26338700000000004,8.5,0.4047615,-0.1380945,-0.3411741453321393
2026-05_06,"2026-01_02, 2026-03_04",pipeline,0.205271,2.0,0.133333,0.4284365,5.5,0.2619045,-0.12857149999999998,-0.4909079801684194
2026-05_06,"2026-01_02, 2026-03_04",clean hydrogen production,0.0,0.0,0.0,0.0551455,2.5,0.1190475,-0.1190475,-0.9999916000621596
2026-05_06,"2026-01_02, 2026-03_04",hydrogen car,0.0,0.0,0.0,0.0351425,2.5,0.1190475,-0.1190475,-0.9999916000621596
2026-05_06,"2026-01_02, 2026-03_04",fuel cell technology,0.117859,3.0,0.2,0.4160865,6.5,0.3095235,-0.1095235,-0.35384436450103296
2026-05_06,"2026-01_02, 2026-03_04",ammonia production,0.0,0.0,0.0,0.107615,2.0,0.095238,-0.095238,-0.9999895000997491
2026-05_06,"2026-01_02, 2026-03_04",global hydrogen,0.0,0.0,0.0,0.149167,2.0,0.095238,-0.095238,-0.9999895000997491
2026-05_06,"2026-01_02, 2026-03_04",hydrogen costs,0.0,0.0,0.0,0.0976615,2.0,0.095238,-0.095238,-0.9999895000997491
2026-05_06,"2026-01_02, 2026-03_04",hydrogen fuel cell technology,0.0,0.0,0.0,0.106187,2.0,0.095238,-0.095238,-0.9999895000997491
2026-05_06,"2026-01_02, 2026-03_04",industrial hubs,0.0,0.0,0.0,0.096908,2.0,0.095238,-0.095238,-0.9999895000997491
2026-05_06,"2026-01_02, 2026-03_04",refuel,0.0,0.0,0.0,0.063163,2.0,0.095238,-0.095238,-0.9999895000997491
2026-05_06,"2026-01_02, 2026-03_04",turbine,0.0,0.0,0.0,0.060192999999999997,2.0,0.095238,-0.095238,-0.9999895000997491
2026-05_06,"2026-01_02, 2026-03_04",hydrogen hubs,0.126308,2.0,0.133333,0.1654845,4.0,0.190476,-0.057143,-0.29999947500223123
2026-05_06,"2026-01_02, 2026-03_04",industrial,0.601337,11.0,0.733333,0.86053,16.5,0.7857145,-0.05238149999999997,-0.06666726060514261
2026-05_06,"2026-01_02, 2026-03_04",fuel cell stacks,0.156805,2.0,0.133333,0.0900895,3.0,0.142857,-0.009524000000000005,-0.06666759999440008
2026-05_06,"2026-01_02, 2026-03_04",hydrogen economy,0.115605,2.0,0.133333,0.172441,3.0,0.142857,-0.009524000000000005,-0.06666759999440008
2026-05_06,"2026-01_02, 2026-03_04",hydrogen fuel cells,0.212095,6.0,0.4,0.432373,8.5,0.404762,-0.0047619999999999885,-0.011764909342010021
