period,keyword,tfidf_score,frequency,document_count,document_share,period_order,document_share_change,tfidf_score_change,document_share_growth_rate
2026-01_02,adopt hydrogen,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,adopt hydrogen,0.121974,26.0,2.0,0.095238,1,0.095238,0.121974,95238.00000000001
2026-05_06,adopt hydrogen,0.0,0.0,0.0,0.0,2,-0.095238,-0.121974,-0.9999895000997491
2026-01_02,aircraft,0.325383,55.0,3.0,0.142857,0,0.0,0.0,142857.00000000003
2026-03_04,aircraft,0.145883,27.0,2.0,0.095238,1,-0.04761900000000001,-0.17949999999999997,-0.33333100001399996
2026-05_06,aircraft,0.440841,82.0,2.0,0.133333,2,0.038095000000000004,0.29495799999999994,0.39999370005984947
2026-01_02,ammonia,0.569361,128.0,5.0,0.238095,0,0.0,0.0,238095.0
2026-03_04,ammonia,0.0,0.0,0.0,0.0,1,-0.238095,-0.569361,-0.9999958000134399
2026-05_06,ammonia,0.203512,44.0,2.0,0.133333,2,0.133333,0.203512,133333.0
2026-01_02,ammonia plants,0.03866,6.0,2.0,0.095238,0,0.0,0.0,95238.00000000001
2026-03_04,ammonia plants,0.0,0.0,0.0,0.0,1,-0.095238,-0.03866,-0.9999895000997491
2026-05_06,ammonia plants,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2026-01_02,ammonia production,0.21523,57.0,4.0,0.190476,0,0.0,0.0,190476.00000000003
2026-03_04,ammonia production,0.0,0.0,0.0,0.0,1,-0.190476,-0.21523,-0.9999947500223124
2026-05_06,ammonia production,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2026-01_02,aviation,0.645621,110.0,5.0,0.238095,0,0.0,0.0,238095.0
2026-03_04,aviation,0.602581,111.0,2.0,0.095238,1,-0.142857,-0.04303999999999997,-0.599997480008064
2026-05_06,aviation,0.354673,107.0,3.0,0.2,2,0.10476200000000001,-0.24790800000000002,1.0999905500897742
2026-01_02,aviation fuel,0.19861,18.0,2.0,0.095238,0,0.0,0.0,95238.00000000001
2026-03_04,aviation fuel,0.0,0.0,0.0,0.0,1,-0.095238,-0.19861,-0.9999895000997491
2026-05_06,aviation fuel,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2026-01_02,aviation sector,0.171999,21.0,2.0,0.095238,0,0.0,0.0,95238.00000000001
2026-03_04,aviation sector,0.0,0.0,0.0,0.0,1,-0.095238,-0.171999,-0.9999895000997491
2026-05_06,aviation sector,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2026-01_02,battery electric fuel cell,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,battery electric fuel cell,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2026-05_06,battery electric fuel cell,0.074555,8.0,1.0,0.066667,2,0.066667,0.074555,66667.00000000001
2026-01_02,battery storage,0.109281,25.0,2.0,0.095238,0,0.0,0.0,95238.00000000001
2026-03_04,battery storage,0.0,0.0,0.0,0.0,1,-0.095238,-0.109281,-0.9999895000997491
2026-05_06,battery storage,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2026-01_02,bipartisan infrastructure,0.091349,13.0,2.0,0.095238,0,0.0,0.0,95238.00000000001
2026-03_04,bipartisan infrastructure,0.0,0.0,0.0,0.0,1,-0.095238,-0.091349,-0.9999895000997491
2026-05_06,bipartisan infrastructure,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2026-01_02,bipartisan infrastructure law,0.091349,13.0,2.0,0.095238,0,0.0,0.0,95238.00000000001
2026-03_04,bipartisan infrastructure law,0.0,0.0,0.0,0.0,1,-0.095238,-0.091349,-0.9999895000997491
2026-05_06,bipartisan infrastructure law,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2026-01_02,blending hydrogen,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,blending hydrogen,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2026-05_06,blending hydrogen,0.041185,5.0,1.0,0.066667,2,0.066667,0.041185,66667.00000000001
2026-01_02,blown hydrogen,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,blown hydrogen,0.055154,10.0,2.0,0.095238,1,0.095238,0.055154,95238.00000000001
2026-05_06,blown hydrogen,0.0,0.0,0.0,0.0,2,-0.095238,-0.055154,-0.9999895000997491
2026-01_02,blue hydrogen,0.381682,82.0,4.0,0.190476,0,0.0,0.0,190476.00000000003
2026-03_04,blue hydrogen,0.0,0.0,0.0,0.0,1,-0.190476,-0.381682,-0.9999947500223124
2026-05_06,blue hydrogen,0.084569,17.0,3.0,0.2,2,0.2,0.084569,200000.00000000003
2026-01_02,broader hydrogen,0.060968,10.0,2.0,0.095238,0,0.0,0.0,95238.00000000001
2026-03_04,broader hydrogen,0.0,0.0,0.0,0.0,1,-0.095238,-0.060968,-0.9999895000997491
2026-05_06,broader hydrogen,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2026-01_02,budding hydrogen,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,budding hydrogen,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2026-05_06,budding hydrogen,0.089635,14.0,2.0,0.133333,2,0.133333,0.089635,133333.0
2026-01_02,capacity green hydrogen,0.11928,9.0,1.0,0.047619,0,0.0,0.0,47619.00000000001
2026-03_04,capacity green hydrogen,0.0,0.0,0.0,0.0,1,-0.047619,-0.11928,-0.9999790004199915
2026-05_06,capacity green hydrogen,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2026-01_02,carbon hydrogen,0.298123,78.0,4.0,0.190476,0,0.0,0.0,190476.00000000003
2026-03_04,carbon hydrogen,0.0,0.0,0.0,0.0,1,-0.190476,-0.298123,-0.9999947500223124
2026-05_06,carbon hydrogen,0.115374,21.0,3.0,0.2,2,0.2,0.115374,200000.00000000003
2026-01_02,change hydrogen,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,change hydrogen,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2026-05_06,change hydrogen,0.023264,1.0,1.0,0.066667,2,0.066667,0.023264,66667.00000000001
2026-01_02,chapter hydrogen,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,chapter hydrogen,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2026-05_06,chapter hydrogen,0.138401,72.0,1.0,0.066667,2,0.066667,0.138401,66667.00000000001
2026-01_02,clean green hydrogen,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,clean green hydrogen,0.085516,11.0,2.0,0.095238,1,0.095238,0.085516,95238.00000000001
2026-05_06,clean green hydrogen,0.0,0.0,0.0,0.0,2,-0.095238,-0.085516,-0.9999895000997491
2026-01_02,clean hydrogen,0.377198,76.0,5.0,0.238095,0,0.0,0.0,238095.0
2026-03_04,clean hydrogen,0.146232,35.0,3.0,0.142857,1,-0.09523799999999999,-0.23096599999999998,-0.39999832000537594
2026-05_06,clean hydrogen,0.34903,123.0,10.0,0.666667,2,0.52381,0.202798,3.6666480001119988
2026-01_02,clean hydrogen infrastructure,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,clean hydrogen infrastructure,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2026-05_06,clean hydrogen infrastructure,0.111141,9.0,1.0,0.066667,2,0.066667,0.111141,66667.00000000001
2026-01_02,clean hydrogen offtake,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,clean hydrogen offtake,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2026-05_06,clean hydrogen offtake,0.124514,26.0,2.0,0.133333,2,0.133333,0.124514,133333.0
2026-01_02,clean hydrogen offtake agreements,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-03_04,clean hydrogen offtake agreements,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2026-05_06,clean hydrogen offtake agreements,0.094872,19.0,2.0,0.133333,2,0.133333,0.094872,133333.0
2026-01_02,clean hydrogen production,0.062474,12.0,3.0,0.142857,0,0.0,0.0,142857.00000000003
2026-03_04,clean hydrogen production,0.047817,11.0,2.0,0.095238,1,-0.04761900000000001,-0.014657000000000003,-0.33333100001399996
2026-05_06,clean hydrogen production,0.0,0.0,0.0,0.0,2,-0.095238,-0.047817,-0.9999895000997491
2026-01_02,clean hydrogen production tax,0.043454,9.0,2.0,0.095238,0,0.0,0.0,95238.00000000001
