period,keyword,tfidf_score,frequency,document_count,document_share
2026-01_02,fuel cell,0.887055,266,13,0.619048
2026-01_02,industrial,0.826873,395,19,0.904762
2026-01_02,infrastructure,0.783104,341,17,0.809524
2026-01_02,aviation,0.645621,110,5,0.238095
2026-01_02,green hydrogen,0.626281,244,12,0.571429
2026-01_02,hydrogen fuel,0.608577,196,15,0.714286
2026-01_02,production,0.596459,244,18,0.857143
2026-01_02,fuel cells,0.585221,199,13,0.619048
2026-01_02,ammonia,0.569361,128,5,0.238095
2026-01_02,hydrogen infrastructure,0.516674,182,15,0.714286
2026-01_02,industrial decarbonization,0.511032,160,13,0.619048
2026-01_02,hydrogen fuel cells,0.443991,135,11,0.52381
2026-01_02,electrolyzer,0.43209,145,9,0.428571
2026-01_02,storage,0.431122,202,15,0.714286
2026-01_02,geologic hydrogen,0.430404,119,2,0.095238
2026-01_02,fuel cell technology,0.415244,76,7,0.333333
2026-01_02,blue hydrogen,0.381682,82,4,0.190476
2026-01_02,clean hydrogen,0.377198,76,5,0.238095
2026-01_02,refueling,0.361973,115,7,0.333333
2026-01_02,hydrogen production,0.35653,101,12,0.571429
2026-01_02,aircraft,0.325383,55,3,0.142857
2026-01_02,low carbon hydrogen,0.317198,77,3,0.142857
2026-01_02,hydrogen fuel cell,0.2988,45,6,0.285714
2026-01_02,carbon hydrogen,0.298123,78,4,0.190476
2026-01_02,electrolysis,0.277781,88,9,0.428571
2026-01_02,hydrogen powered,0.276912,58,5,0.238095
2026-01_02,truck,0.230027,47,2,0.095238
2026-01_02,pipeline,0.219861,69,5,0.238095
2026-01_02,ammonia production,0.21523,57,4,0.190476
2026-01_02,hydrogen fuel cell technology,0.212374,26,4,0.190476
2026-01_02,hydrogen sector,0.211366,59,3,0.142857
2026-01_02,transport,0.210708,46,7,0.333333
2026-01_02,hydrogen economy,0.203457,43,4,0.190476
2026-01_02,aviation fuel,0.19861,18,2,0.095238
2026-01_02,hydrogen hubs,0.195417,53,5,0.238095
2026-01_02,refuelling,0.188836,32,2,0.095238
2026-01_02,sustainable aviation,0.186293,30,3,0.142857
2026-01_02,shipping,0.178375,44,5,0.238095
2026-01_02,aviation sector,0.171999,21,2,0.095238
2026-01_02,hydrogen allocation,0.171153,31,2,0.095238
2026-01_02,hydrogen allocation rounds,0.171153,31,2,0.095238
2026-01_02,pem fuel cell,0.168236,29,2,0.095238
2026-01_02,pipelines storage,0.167743,39,2,0.095238
2026-01_02,hydrogen technologies,0.153738,25,2,0.095238
2026-01_02,sustainable aviation fuel,0.138135,8,1,0.047619
2026-01_02,global hydrogen,0.137228,27,2,0.095238
