period,keyword,tfidf_score,frequency,document_count,document_share
2026-Q1,green hydrogen,1.189996,462,20,0.625
2026-Q1,fuel cell,1.182487,418,19,0.59375
2026-Q1,infrastructure,1.179507,545,27,0.84375
2026-Q1,industrial,1.116059,584,28,0.875
2026-Q1,production,0.956315,452,28,0.875
2026-Q1,fuel cells,0.80988,286,17,0.53125
2026-Q1,hydrogen fuel,0.809384,309,21,0.65625
2026-Q1,aviation,0.763709,149,6,0.1875
2026-Q1,hydrogen infrastructure,0.717731,269,21,0.65625
2026-Q1,electrolysis,0.623788,221,15,0.46875
2026-Q1,pipeline,0.601342,145,8,0.25
2026-Q1,industrial decarbonization,0.601308,214,20,0.625
2026-Q1,ammonia,0.596178,128,5,0.15625
2026-Q1,fuel cell technology,0.59557,135,10,0.3125
2026-Q1,hydrogen production,0.584708,200,20,0.625
2026-Q1,hydrogen fuel cells,0.564742,181,14,0.4375
2026-Q1,storage,0.529802,260,22,0.6875
2026-Q1,electrolyzer,0.524878,196,14,0.4375
2026-Q1,hydrogen fuel cell,0.467772,108,9,0.28125
2026-Q1,refueling,0.437489,143,9,0.28125
2026-Q1,geologic hydrogen,0.41929,119,2,0.0625
2026-Q1,clean hydrogen,0.399858,82,6,0.1875
2026-Q1,blue hydrogen,0.397741,82,4,0.125
2026-Q1,transport,0.355483,110,14,0.4375
2026-Q1,aircraft,0.348857,66,4,0.125
2026-Q1,shipping,0.331097,99,10,0.3125
2026-Q1,low carbon hydrogen,0.322773,77,3,0.09375
2026-Q1,carbon hydrogen,0.307116,78,4,0.125
2026-Q1,hydrogen powered,0.297252,70,7,0.21875
2026-Q1,hydrogen hubs,0.277412,79,8,0.25
2026-Q1,hydrogen economy,0.266117,61,5,0.15625
2026-Q1,hydrogen sector,0.263207,69,4,0.125
2026-Q1,green hydrogen production,0.242636,48,4,0.125
2026-Q1,natural hydrogen,0.231276,29,2,0.0625
2026-Q1,renewable hydrogen,0.226745,30,3,0.09375
2026-Q1,ammonia production,0.223416,57,4,0.125
2026-Q1,truck,0.22302,47,2,0.0625
2026-Q1,hydrogen fuel cell technology,0.220223,26,4,0.125
2026-Q1,aviation fuel,0.215728,27,3,0.09375
2026-Q1,hydrogen hub,0.209187,23,2,0.0625
2026-Q1,hydrogen supply,0.203479,35,4,0.125
2026-Q1,global hydrogen,0.20071,43,3,0.09375
2026-Q1,steel,0.189002,49,8,0.25
2026-Q1,refuelling,0.186866,32,2,0.0625
2026-Q1,refueling stations,0.186407,61,4,0.125
2026-Q1,liquid,0.184957,44,5,0.15625
2026-Q1,sustainable aviation,0.181593,30,3,0.09375
2026-Q1,hydrogen core,0.173614,16,1,0.03125
2026-Q1,aviation sector,0.17225,21,2,0.0625
2026-Q1,hydrogen allocation,0.171369,31,2,0.0625
2026-Q1,hydrogen allocation rounds,0.171369,31,2,0.0625
2026-Q1,pipelines storage,0.168385,39,2,0.0625
2026-Q1,electrolyser,0.163648,24,2,0.0625
2026-Q1,pem fuel cell,0.163026,32,3,0.09375
2026-Q1,industrial scale,0.162845,31,3,0.09375
2026-Q1,industrial hubs,0.162264,32,4,0.125
2026-Q1,hydrogen costs,0.160871,32,3,0.09375
2026-Q1,scale hydrogen,0.157798,22,3,0.09375
2026-Q1,hydrogen storage,0.156129,32,7,0.21875
2026-Q1,hydrogen technologies,0.152749,25,2,0.0625
2026-Q1,industrial demand,0.139441,28,2,0.0625
2026-Q1,scaling hydrogen,0.137714,8,1,0.03125
2026-Q1,sustainable aviation fuel,0.132447,8,1,0.03125
2026-Q1,domestic hydrogen,0.130983,25,3,0.09375
2026-Q1,infrastructure planning,0.127541,22,2,0.0625
2026-Q1,fuel cell stacks,0.12715,22,4,0.125
2026-Q1,adopt hydrogen,0.126419,26,2,0.0625
2026-Q1,infrastructure upgrades,0.122817,33,2,0.0625
2026-Q1,joint hydrogen,0.119682,11,1,0.03125
2026-Q1,battery storage,0.119513,28,3,0.09375
2026-Q1,mea production,0.118669,19,2,0.0625
2026-Q1,scale production,0.117046,17,2,0.0625
2026-Q1,gray hydrogen,0.11635,27,2,0.0625
2026-Q1,steel mills,0.115258,24,5,0.15625
2026-Q1,energy infrastructure,0.114955,24,2,0.0625
2026-Q1,capacity green hydrogen,0.114196,9,1,0.03125
2026-Q1,green hydrogen ambitions,0.113151,15,2,0.0625
2026-Q1,production storage,0.11088,6,1,0.03125
2026-Q1,green hydrogen costs,0.110343,19,2,0.0625
2026-Q1,large scale hydrogen,0.106493,12,2,0.0625
2026-Q1,refueling networks,0.104348,24,2,0.0625
2026-Q1,production costs,0.102091,22,3,0.09375
2026-Q1,major hydrogen,0.100815,12,2,0.0625
2026-Q1,infrastructure rollout,0.100585,30,2,0.0625
