第一申请人,申请人省市代码,first_year,last_year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,chain_positions,matched_terms,high_related_count,medium_related_count,low_related_count,timefreq_candidate_count,main_chain_position,main_quantum_category,firm_relevance
1QB信息技术公司,加拿大; CA,2019,2020,2,15,7.5,量子传感；量子计算,量子计算系统,量子处理器；量子技术；量子计算；量子计算机,1,1,0,0,量子计算系统,量子传感,较高相关企业
ANSYS LUMERICAL知识产权有限责任公司,美国; US,2021,2021,1,24,24.0,量子传感,量子传感器/精密测量,qubits；量子态；量子测量；量子电路；量子计算,1,0,0,0,量子传感器/精密测量,量子传感,核心量子企业
ATONARP株式会社,日本; JP,2019,2019,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0,量子计算硬件/量子芯片,量子计算硬件,候选/待复核企业
D-波系统公司,加拿大; CA,2019,2021,7,65,9.285714285714286,量子计算；量子计算硬件,量子计算硬件/量子芯片；量子计算系统,qubit；qubits；超导量子比特；量子处理器；量子比特；量子计算,5,2,0,0,量子计算系统,量子计算,核心量子企业
DH科技发展私人贸易有限公司,新加坡; SG,2020,2021,3,15,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,3,0,0,量子计算硬件/量子芯片,量子计算硬件,较高相关企业
ID量子技术公司,瑞士; CH,2019,2019,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分配,0,1,0,0,量子通信与安全,量子通信与安全,候选/待复核企业
IFP新能源公司,法国; FR,2019,2019,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0,量子传感器/精密测量,量子传感,候选/待复核企业
IMEC 非营利协会,比利时; BE,2019,2019,1,5,5.0,量子计算,量子计算系统,qubit；量子比特,0,1,0,0,量子计算系统,量子计算,候选/待复核企业
IQM芬兰有限公司,芬兰; FI,2022,2022,1,10,10.0,量子计算,量子计算系统,量子比特；量子计算,1,0,0,0,量子计算系统,量子计算,较高相关企业
Q-CTRL股份有限公司,澳大利亚; AU,2021,2021,1,10,10.0,量子计算,量子计算系统,qubit；qubits；量子处理器,1,0,0,0,量子计算系统,量子计算,较高相关企业
X开发有限责任公司,美国; US,2022,2022,1,20,20.0,量子通信与安全,量子通信与安全,量子中继；量子中继器；量子信息；量子模拟；量子通信,1,0,0,0,量子通信与安全,量子通信与安全,核心量子企业
万机仪器公司,美国; US,2021,2021,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0,量子计算硬件/量子芯片,量子计算硬件,候选/待复核企业
三峡大学,湖北; 42,2019,2021,5,41,8.2,量子基础概念；量子通信与安全,其他量子相关/待复核；量子通信与安全,QKD；抗量子攻击；量子信息；量子密钥；量子密钥分配；量子态；量子通信,2,0,3,0,其他量子相关/待复核,量子基础概念,核心量子企业
上海交通大学,上海; 31,2019,2022,34,180,5.294117647058823,量子传感；量子基础概念；量子计算；量子计算硬件；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子计量/时间频率/PNT候选；量子通信与安全,entanglement；fidelity；laser；lasers；superposition；保真度；光学频率传递；光调制器；光量子比特；光量子计算；光钟；原子钟；叠加态；时间频率传输；时间频率传递；时间频率比对；激光器；量子信息；量子密钥；量子密钥分发；量子态；量子比特；量子磁力计；量子纠缠；量子线路；量子计算；量子计算机；量子通信；频率基准；频率标准,6,5,1,22,量子计量/时间频率/PNT候选,量子传感,核心量子企业
上海光链电子科技有限公司,上海; 31,2022,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；氢原子钟,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海国盾量子信息技术有限公司,上海; 31,2019,2021,3,20,6.666666666666667,量子通信与安全,量子通信与安全,QKD；量子密钥；量子密钥分发；量子通信,1,2,0,0,量子通信与安全,量子通信与安全,核心量子企业
上海国科航星量子科技有限公司,上海; 31,2021,2021,3,15,5.0,量子通信与安全,量子通信与安全,量子通信,0,3,0,0,量子通信与安全,量子通信与安全,较高相关企业
上海图灵智算量子科技有限公司,上海; 31,2022,2022,3,43,14.333333333333334,量子计算,量子计算系统,entanglement；量子态；量子比特；量子线路；量子计算；量子计算机,3,0,0,0,量子计算系统,量子计算,核心量子企业
上海大学,上海; 31,2021,2021,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0,量子传感器/精密测量,量子传感,候选/待复核企业
上海安密信科技有限公司,上海; 31,2020,2020,1,5,5.0,量子计算,量子计算系统,量子计算；量子计算机,0,1,0,0,量子计算系统,量子计算,候选/待复核企业
上海工程技术大学,上海; 31,2021,2021,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,量子计算系统,量子计算,候选/待复核企业
上海循态信息科技有限公司,上海; 31,2019,2021,15,99,6.6,量子基础概念；量子通信与安全,其他量子相关/待复核；量子通信与安全,laser；量子保密通信；量子密钥；量子密钥分发；量子态；量子相干；量子通信,5,9,1,0,量子通信与安全,量子通信与安全,核心量子企业
上海循态量子科技有限公司,上海; 31,2021,2022,7,31,4.428571428571429,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,5,2,0,量子通信与安全,量子通信与安全,核心量子企业
上海微观纪元数字科技有限公司,上海; 31,2023,2023,1,19,19.0,量子通信与安全,量子通信与安全,qubit；分布式量子计算；量子比特；量子算法；量子计算；量子计算机,1,0,0,0,量子通信与安全,量子通信与安全,较高相关企业
上海思量量子科技有限公司,上海; 31,2021,2021,1,5,5.0,量子传感,其他量子相关/待复核,量子技术,0,1,0,0,其他量子相关/待复核,量子传感,候选/待复核企业
上海无线电设备研究所,上海; 31,2019,2019,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；铷原子钟,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海海事大学,上海; 31,2022,2022,1,15,15.0,量子传感,量子计算系统,entanglement；fidelity；laser；保真度；量子信息；量子比特,1,0,0,0,量子计算系统,量子传感,较高相关企业
上海理工大学,上海; 31,2021,2021,1,4,4.0,量子基础概念,其他量子相关/待复核,量子态,0,0,1,0,其他量子相关/待复核,量子基础概念,候选/待复核企业
上海瑞柯恩激光技术有限公司,上海; 31,2023,2023,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海电力学院,上海; 31,2019,2019,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,2,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
