第一申请人,year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,chain_positions,matched_terms,high_related_count,medium_related_count,low_related_count,timefreq_candidate_count
1QB信息技术公司,2019,1,10,10.0,量子传感,量子计算系统,量子技术；量子计算；量子计算机,1,0,0,0
1QB信息技术公司,2020,1,5,5.0,量子计算,量子计算系统,量子处理器,0,1,0,0
ANSYS LUMERICAL知识产权有限责任公司,2021,1,24,24.0,量子传感,量子传感器/精密测量,qubits；量子态；量子测量；量子电路；量子计算,1,0,0,0
ATONARP株式会社,2019,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0
D-波系统公司,2019,4,40,10.0,量子计算；量子计算硬件,量子计算硬件/量子芯片；量子计算系统,qubit；qubits；超导量子比特；量子处理器；量子比特；量子计算,3,1,0,0
D-波系统公司,2020,1,10,10.0,量子计算,量子计算系统,qubits；量子处理器,1,0,0,0
D-波系统公司,2021,2,15,7.5,量子计算,量子计算系统,qubit；qubits；量子处理器,1,1,0,0
DH科技发展私人贸易有限公司,2020,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0
DH科技发展私人贸易有限公司,2021,2,10,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,2,0,0
ID量子技术公司,2019,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分配,0,1,0,0
IFP新能源公司,2019,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0
IMEC 非营利协会,2019,1,5,5.0,量子计算,量子计算系统,qubit；量子比特,0,1,0,0
IQM芬兰有限公司,2022,1,10,10.0,量子计算,量子计算系统,量子比特；量子计算,1,0,0,0
Q-CTRL股份有限公司,2021,1,10,10.0,量子计算,量子计算系统,qubit；qubits；量子处理器,1,0,0,0
X开发有限责任公司,2022,1,20,20.0,量子通信与安全,量子通信与安全,量子中继；量子中继器；量子信息；量子模拟；量子通信,1,0,0,0
万机仪器公司,2021,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0
三峡大学,2019,2,23,11.5,量子基础概念；量子通信与安全,其他量子相关/待复核；量子通信与安全,QKD；量子信息；量子密钥；量子密钥分配；量子态；量子通信,1,0,1,0
三峡大学,2021,3,18,6.0,量子基础概念；量子通信与安全,其他量子相关/待复核；量子通信与安全,抗量子攻击；量子密钥；量子态,1,0,2,0
上海交通大学,2019,7,41,5.857142857142857,量子传感；量子计算,量子计算系统；量子计量/时间频率/PNT候选,entanglement；fidelity；laser；lasers；superposition；保真度；叠加态；时间频率传输；时间频率传递；时间频率比对；量子态；量子计算；频率基准,2,0,0,5
上海交通大学,2020,9,49,5.444444444444445,量子传感；量子计算；量子计算硬件,量子计算硬件/量子芯片；量子计算系统；量子计量/时间频率/PNT候选,entanglement；laser；光学频率传递；光量子比特；光量子计算；光钟；原子钟；量子比特；量子纠缠；量子计算；量子计算机,2,1,0,6
上海交通大学,2021,12,69,5.75,量子传感；量子基础概念；量子计算；量子通信与安全,其他量子相关/待复核；量子计算系统；量子计量/时间频率/PNT候选；量子通信与安全,fidelity；保真度；光学频率传递；时间频率传输；时间频率传递；激光器；量子信息；量子密钥；量子密钥分发；量子态；量子比特；量子纠缠；量子线路；量子计算；量子通信；频率标准,2,3,1,6
上海交通大学,2022,6,21,3.5,量子传感,量子传感器/精密测量；量子计量/时间频率/PNT候选,laser；光学频率传递；光调制器；激光器；量子磁力计；频率基准,0,1,0,5
上海光链电子科技有限公司,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；氢原子钟,0,0,0,1
上海国盾量子信息技术有限公司,2019,2,10,5.0,量子通信与安全,量子通信与安全,QKD；量子密钥；量子密钥分发,0,2,0,0
上海国盾量子信息技术有限公司,2021,1,10,10.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发；量子通信,1,0,0,0
上海国科航星量子科技有限公司,2021,3,15,5.0,量子通信与安全,量子通信与安全,量子通信,0,3,0,0
上海图灵智算量子科技有限公司,2022,3,43,14.333333333333334,量子计算,量子计算系统,entanglement；量子态；量子比特；量子线路；量子计算；量子计算机,3,0,0,0
上海大学,2021,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0
上海安密信科技有限公司,2020,1,5,5.0,量子计算,量子计算系统,量子计算；量子计算机,0,1,0,0
上海工程技术大学,2021,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0
上海循态信息科技有限公司,2019,5,36,7.2,量子通信与安全,量子通信与安全,laser；量子保密通信；量子密钥；量子密钥分发；量子通信,2,3,0,0
上海循态信息科技有限公司,2020,3,14,4.666666666666667,量子基础概念；量子通信与安全,其他量子相关/待复核；量子通信与安全,量子密钥；量子密钥分发；量子态,0,2,1,0
上海循态信息科技有限公司,2021,7,49,7.0,量子通信与安全,量子通信与安全,量子保密通信；量子密钥；量子密钥分发；量子相干,3,4,0,0
上海循态量子科技有限公司,2021,4,16,4.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,2,2,0
上海循态量子科技有限公司,2022,3,15,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,3,0,0
上海微观纪元数字科技有限公司,2023,1,19,19.0,量子通信与安全,量子通信与安全,qubit；分布式量子计算；量子比特；量子算法；量子计算；量子计算机,1,0,0,0
上海思量量子科技有限公司,2021,1,5,5.0,量子传感,其他量子相关/待复核,量子技术,0,1,0,0
上海无线电设备研究所,2019,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；铷原子钟,0,0,0,1
上海海事大学,2022,1,15,15.0,量子传感,量子计算系统,entanglement；fidelity；laser；保真度；量子信息；量子比特,1,0,0,0
上海理工大学,2021,1,4,4.0,量子基础概念,其他量子相关/待复核,量子态,0,0,1,0
上海瑞柯恩激光技术有限公司,2023,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1
上海电力学院,2019,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,2
上海矢元电子股份有限公司,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；铷原子钟,0,0,0,1
上海精密计量测试研究所,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；原子钟频率；原子钟频率驾驭；氢原子钟；频率驾驭,0,0,0,1
上海聆芯科技有限公司,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1
上海联影医疗科技股份有限公司,2021,4,20,5.0,量子传感,量子传感器/精密测量,NV色心,0,4,0,0
上海航天测控通信研究所,2020,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；氢原子钟,0,0,0,2
上海航天测控通信研究所,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1
上海芯联芯智能科技有限公司,2022,1,3,3.0,量子计算,量子计算系统,量子计算,0,0,1,0
上海蓝色帛缔智能工程有限公司,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1
上海裕达实业有限公司,2019,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0
上海裕达实业有限公司,2020,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0
上海裕达实业有限公司,2021,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0
上海裕达实业有限公司,2022,3,15,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,3,0,0
上海证锘信息科技有限公司,2021,1,5,5.0,量子通信与安全,量子通信与安全,抗量子攻击,0,1,0,0
东京毅力科创株式会社,2020,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0
东北电力大学,2020,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1
东华大学,2019,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,1,0,0
东华大学,2022,1,9,9.0,量子通信与安全,量子通信与安全,QKD；量子密钥；量子密钥分发；量子态,1,0,0,0
东华理工大学,2019,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0
东南大学,2019,3,31,10.333333333333334,量子传感；量子计算；量子通信与安全,量子传感器/精密测量；量子计算系统；量子通信与安全,entanglement；fidelity；保真度；量子信息；量子态；量子测量；量子纠缠；量子网络；量子计算；量子通信,2,1,0,0
东南大学,2020,3,25,8.333333333333334,量子计算；量子通信与安全,量子计算系统；量子通信与安全,fidelity；保真度；物理量子比特；逻辑量子比特；量子比特；量子线路；量子计算；量子计算机；量子通信；量子门,1,2,0,0
东南大学,2021,7,59,8.428571428571429,量子计算；量子通信与安全,量子计算系统；量子软件/算法/模拟；量子通信与安全,QKD；entanglement；量子密钥；量子密钥分发；量子态；量子比特；量子算法；量子计算；量子门,3,4,0,0
东南大学,2022,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0
东莞理工学院,2022,1,4,4.0,量子基础概念,其他量子相关/待复核,叠加态,0,0,1,0
东风电动车辆股份有限公司,2019,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0
中共中央办公厅电子科技学院,2019,4,40,10.0,量子通信与安全,量子通信与安全,QKD；量子保密通信；量子密钥；量子密钥分发,4,0,0,0
中兴通讯股份有限公司,2019,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,1,0,0
中兴通讯股份有限公司,2020,1,5,5.0,量子通信与安全,量子通信与安全,量子通信,0,1,0,0
中创为(成都)量子通信技术有限公司,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,1,0,0
中创通信技术(深圳)有限公司,2023,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,1,0,0
中北大学,2019,1,11,11.0,量子传感,量子传感器/精密测量,NV色心；laser；量子传感；量子传感器；金刚石NV色心,1,0,0,0
中北大学,2020,3,24,8.0,量子传感,量子传感器/精密测量,NV色心；fidelity；laser；保真度；激光器；量子传感；量子传感器；金刚石NV色心,1,2,0,0
